and;conj. và
associated;adj. có liên quan
autumn;n. mùa thu
chicken;n. gà, thịt gà
claim;v. đòi, đòi quyền, nhận là, tự cho là
counter;n. kệ bếp, quầy tính tiền
determination;n. sự quyết tâm
domestic;adj. nội địa
driver;n. người lái xe (ô tô)
editor;n. biên tập viên
faint;v. ngất xỉu
fund;n. quỹ (tiết kiệm hoặc dùng cho một hoạt động cụ thể)
future;n. tương lai
happy;adj. hạnh phúc, vui vẻ
herself;prop. chính cô ta
morning;n. sáng
nowhere;adv. không nơi nào, không ở đâu
pack;n. túi chườm
pair;n. cặp, đôi
polish;n. chất đánh bóng
pour;v. đổ, rót
presumably;adv. có lẽ
reader;n. sách đọc thêm (phục vụ việc học ngôn ngữ)
ruined;adj. bị hủy hoại, phá hỏng
seal;n. con hải cẩu
shelf;n. giá sách
spite;n. sự ác ý
squeeze;n. sự ép, vắt, nén
stressed;adj. rất lo lắng, mệt mỏi
student;n. học sinh, sinh viên
always;adv. luôn luôn
breakfast;n. bữa ăn sáng, điểm tâm
computer;n. máy vi tính
convert;v. chuyển đổi
devoted;adj. tận tâm
ensure;v. bảo đảm
excitement;n. sự hào hứng, phấn khích
export;v. xuất khẩu
fire;n. lửa
highway;n. đường cao tốc, quốc lộ
ice;n. nước đá
level;n. cấp, cấp bậc, trình độ
location;n. vị trí
loosely;adv. lỏng, lỏng lẻo (nghĩa bóng)
never;adv. chưa bao giờ
political;adj. liên quan đến chính phủ, nhà nước
regular;adj. đều đều, không thay đổi, thường lệ
reward;n. tiền thưởng, vật thưởng (làm việc chăm chỉ...)
risk;n. nguy cơ, sự nguy hiểm, sự rủi ro
shape;n. hình dáng
soul;n. linh hồn
studio;n. phòng thu
suffer;v. bị, chịu, chịu đựng, khổ sở vì
team;n. đội
thought;n. đã nghĩ
three;cardinal no. số ba
toilet;n. phòng vệ sinh
border;v. tiếp giáp với, giáp với
box;n. hộp
chair;n. ghế tựa
difference;n. sự khác nhau
director;n. giám đốc
excluding;prep. ngoại trừ
fresh;adj. mùi tươi mới
hammer;v. rèn 
height;n. chiều cao, đỉnh cao
improvement;n. sự cải thiện, sự trau dồi (trí tuệ, kiến thức...)
irritated;adj. bực mình, tức giận
load;v. chất hàng
magazine;n. tạp chí
nail;n. móng (tay, chân)
offer;n. đề xuất, đề nghị, chào mời, chào hàng
one;cardinal no. số một
opposing;adj. đối chọi, trái ngược nhau
plan;n. kế hoạch, dự án
pronounce;v. phát âm
properly;adv. một cách phù hợp
prospect;n. viễn cảnh, triển vọng
rightly;adv. đúng đắn, có lí
salt;n. muối
shift;v. chuyển dịch 
stick;v. dính
string;n. sợi dây
taste;n. vị giác, nếm, sở thích, thị hiếu
technical;adj. kĩ thuật, thuộc về cơ khí và khoa học ứng dụng
therefore;adv. vì vậy
advanced;adj. tiên tiến
ally;n. nước đồng minh
art;n. mỹ thuật
attach;v. đính kèm, kèm theo
bottle;n. chai
chief;n. người có cấp bậc cao nhất trong một tổ chức, một cơ quan
complicate;v. làm phức tạp, làm rắc rối
create;v. tạo ra
dead;adj. chết (người, vật, cây cối)
declare;v. tuyên bố, công bố
dictionary;n. từ điển
dissolve;v. hoà tan, tan ra
elsewhere;adv. ở nơi nào khác
empty;adj. trống, trống không
fee;n. lệ phí, thù lao
housing;n. nhà ở (nói chung)
naturally;adv. cố nhiên, đương nhiên
new;adj. mới
normally;adv. thường xuyên, thông thường
pole;n. cái sào (để chống thuyền..), cọc (để căng lều..), cột (cờ..)
rather;adv. hơi, khá (diễn tả sự chỉ trích, thất vọng, ngạc nhiên)
rest;n. sự nghỉ ngơi
retain;v. giữ lại, tiếp tục có
royal;adj. thuộc hoàng gia
rubbish;n. rác, rác rưởi
substitute;v. thay thế
succeed;v. thành công
tank;n. bể cá, bể nước
thorough;adj. kỹ lưỡng, tỉ mỉ
track;n. đường, hướng đi
altogether;adv. tổng cộng, tính gộp lại
apart;adv. riêng một bên, xa ra
article;n. bài báo
attempt;v. cố gắng, thử
camp;v. cắm trại
castle;n. lâu đài
connection;n. sự kết nối
drugstore;n. hiệu thuốc tây
dry;adj. khô
electrical;adj. (thuộc về) điện, dùng, tạo ra điện
embarrassment;n. cảm giác ngượng, bối rối
encourage;v. khuyến khích, động viên
exercise;n. các hoạt động thể lực, tinh thần để rèn luyện sức khỏe, sự tập luyện, bài thể dục
expression;n. sự biểu lộ, biểu hiện
family;n. gia đình
form;n. mẫu đơn
girl;n. con gái
goods;n. hàng hóa
helpful;adj. hữu ích, nhiệt tình
image;n. hình ảnh
iron;v. là (quần áo)
joke;n. lời nói đùa, chuyện đùa
journalist;n. nhà báo
lump;n. cục, tảng, miếng
mall;n. khu thương mại
ourselves;prop. chính chúng tôi
pension;n. lương hưu
performance;n. buổi biểu diễn, sự trình diễn
reform;v. đổi mới
requirement;n. yêu cầu
active;adj. hăng hái, năng động
apologize;v. xin lỗi
bell;n. cái chuông
category;n. loại, hạng
change;v. thay đổi
comfortable;adj. thoải mái
commission;n. tiền hoa hồng
culture;n. văn hóa (của một nhóm hoặc tổ chức)
derive from;v. bắt nguồn từ
dozen;n. một tá (12 cái)
exactly;adv. chính xác
finance;n. tài chính
floor;n. tầng, lầu
lemon;n. chanh vàng
live;v. sống, sinh sống
low;adj. thấp
million;n. triệu
nation;n. quốc gia, đất nước
pattern;n. mẫu vẽ, họa tiết
power;n. điện, năng lượng
restore;v. hồi phục, khôi phục lại
salary;n. lương hàng tháng
shop;n. cửa hàng, cửa hiệu
steel;n. thép
technique;n. kĩ thuật, phương pháp
tooth;n. răng
twist;n. sự vặn, xoay
unwilling;adj. không sẵn lòng hoặc không muốn làm gì
valuable;adj. quý giá
village;n. làng
ability;n. năng lực, khả năng, tài năng
anywhere;adv. (dùng thay cho somewhere, trong câu phủ định và câu hỏi)
approximately;adv. khoảng, gần như
blue;adj. xanh da trời
boring;adj. buồn tẻ
busy;adj. bận rộn
calculate;v. tính, tính toán
cigarette;n. thuốc lá
cloud;n. mây, đám mây
concept;n. khái niệm
confident;adj. tự tin, tin tưởng
crash;v. va chạm, đâm sầm
describe;v. miêu tả
discuss;v. thảo luận, tranh luận (một vấn đề gì)
disgusting;adj. cực kì khó chịu, ghê tởm
e.g.;abbreviation. ví dụ (viết tắt của "exempli gratia")
fifth;ordinal no. thứ năm
grandmother;n. bà (nội hoặc ngoại)
guy;n. anh chàng, gã
him;зкщз. anh, cậu, ông...ấy (tân ngữ, đứng sau động từ hoặc giới từ)
motorbike;n. xe máy, xe mô- tô
name;n. tên
own;v. có, sở hữu
progress;n. sự tiến bộ, sự tiến triển
rarely;adv. hiếm khi, ít khi
recording;n. âm thanh, hình ảnh được ghi trên CD, DVD, video...
roof;n. nóc
separate;v. chia, tách
sister;n. chị gái, em gái
soup;n. xúp
Mrs;abbreviation. (đứng trước họ, tên đầy đủ của một người phụ nữ đã lập gia đình)
amusing;adj. vui, thú vị
assure;v. quả quyết, đảm bảo
awkward;adj. lúng túng, khó xử
bay;n.ph. vịnh
bubble;n. bong bóng, bọt
continue;v. tiếp tục, duy trì
course;n. khóa học
demand;n. nhu cầu
diary;n. nhật ký
die;v. chết, qua đời
enemy;n. kẻ thù, kẻ địch
equivalent;adj. tương đương
exhibit;n. vật trưng bày, vật triển lãm
flavour;n. mùi vị
hat;n. mũ
miss;v. thấy nhớ (ai đó)
operate;v. vận hành, làm cho hoạt động
pop;v. nổ bốp
remind;v. nhắc nhở
scheme;n. kế hoạch, mưu đồ
shift;v. chuyển dịch 
shoe;n. giày
tap;n. vòi nước
theatre;n. nhà hát
thickly;adv. dày, thành lớp dày
thin;adj. gầy, mỏng
traffic;n. sự đi lại, giao thông
unsteady;adj. lảo đảo, không vững
walk;v. đi bộ
accept;v. nhận, chấp nhận
apparent;adj. rõ ràng
assist;v. giúp đỡ, có mặt
beautiful;adj. xinh đẹp
conclude;v. kết luận, quyết định
covered;adj. được phủ bởi, có lớp gì ở trên
deliberately;adv. (một cách) cố ý
dirt;n. bụi bẩn
discussion;n. cuộc thảo luận
economic;adj. (thuộc về) kinh tế
euro;n. đơn vị tiền tệ của một số quốc gia Liên minh châu Âu
few;determiner. ít (dùng với danh từ số nhiều và động từ số nhiều)
fundamental;adj. cơ bản, chủ yếu
giant;adj. to lớn, khổng lồ
himself;prop. chính anh ta
irritate;v. kích thích, làm tấy lên, làm rát
judgement;n. sự phán xét, đánh giá
jump;v. nhảy, cú nhảy
management;n. (sự) quản lý, quản trị
net;adj. thuần, ròng, tịnh, thực
object;n. vật thể
peace;n. sự hòa bình, sự hòa thuận
plug;v. cắm vào, bít (lỗ) lại
resist;v. kháng cự, chống lại
shocking;adj. sốc
split;n. sự chia bè phái, chia rẽ
story;n. câu chuyện
tail;n. đuôi, cái đuôi
ten;cardinal no. số mười
unkind;adj. không tử tế, không tốt
acceptable;adj. chấp nhận được, có thể cho phép
beat;n. nhịp, cú đánh, tiếng động của cú, nhịp đó
cheaply;adv. rẻ, không tốn nhiều tiền
cheque;n. séc
click;v. kích chọn một chức năng trên màn hình vi tính
convention;n. quy ước
curly;adj. quăn, xoăn (tóc)
do;v. làm
easily;adv. một cách dễ dàng
eastern;adj. ở phía Đông
error;n. lỗi, sai lầm
fat;adj. béo, mập
funeral;n. lễ tang
lecture;n. bài nói chuyện về một đề tài nào đó, bài giảng, bài thuyết trình
light;adj. sáng sủa
lively;adj. năng nổ, hoạt bát
locate;v. đặt tại, nằm ở
pay;v. trả, đưa
pencil;n. bút chì
previous;adj. trước
release;v. phát hành
rule;n. quy tắc, phép tắc
search;n. cuộc tìm kiếm, thăm dò
seventeen;cardinal no. số mười bảy
survive;v. sống sót
sympathetic;adj. đồng cảm, thông cảm
thing;n. điều
twenty;cardinal no. số hai mươi
unsuccessful;adj. không thành công
upset;adj. buồn phiền, thất vọng
beneath;n. ở dưới
chemical;n. chất hóa học, hóa chất
church;n. nhà thờ
confirm;v. xác nhận
county;n. hạt, tỉnh (đơn vị hành chính ở Anh, Ireland hoặc Mĩ)
deliberate;adj. thong thả, cố ý, chủ tâm
department;n. phòng, ban, bộ
five;cardinal no. số năm
fridge;n. tủ lạnh
implication;n. hậu quả, ảnh hưởng
independent;adj. độc lập, không phụ thuộc
insurance;n. bảo hiểm
light;adj. sáng sủa
likely;adj. có khả năng, có thể
quite;adv. tương đối, khá
reckon;v. nghĩ là, cho rằng
refusal;n. sự, lời từ chối
represent;v. đại diện, tượng trưng cho
solid;adj. cứng, rắn
sun;n. mặt trời
swimming pool;n. bể bơi
teacher;n. giáo viên
them;prop. họ
ultimate;adj. cuối cùng
ultimately;adv. cuối cùng, sau cùng
university;n. đại học
unload;v. dỡ hàng
via;prep. qua nơi nào
voice;n. giọng nói
we;pron. chúng tôi, chúng ta
OK;adj. an toàn và khỏe mạnh, hạnh phúc
considerable;adj. đáng kể, lớn
credit card;n. thẻ tín dụng
crucial;adj. cốt yếu, chủ yếu, có tính quyết định
genuine;adj. chân thực, xác thực
key;adj. chìa khóa
literature;n. văn học
nicely;adv. một cách hấp dẫn, đẹp, tốt
paint;v. sơn
park;n. công viên
pride;n. sự tự hào
sadness;n. nỗi buồn
seem;v. có vẻ như, dường như
session;n. kỳ họp, buổi họp
shell;n. vỏ (ốc, sò)
sort;v. sắp xếp, phân loại
spicy;adj. cay nồng
start;v. bắt đầu
tackle;v. giải quyết, xử lí
trip;n. chuyến đi, chuyến du ngoạn
tunnel;n. đường hầm
understand;v. hiểu, thông cảm
unfair;adj. không công bằng
unknown;adj. chưa biết, xác định được
week;n. tuần lễ
wrapping;n. giấy (bao bì, vải...) bọc hoặc phủ cái gì
yellow;adj. vàng
angry;adj. giận dữ
apartment;n. căn hộ
cap;n. mũ lưỡi trai
cell phone;n. điện thoại di động
deaf;adj. điếc, không nghe thấy được
desperate;adj. tuyệt vọng
determined;adj. quyết tâm
disc;n. đĩa hát
elderly;adj. cao tuổi, có tuổi
emergency;n. khẩn cấp, tình trạng
flash;n. đèn nháy
foundation;n. kem nền
free;adj. rảnh rỗi
gear;n. hộp số (xe cộ)
get;v. có được, nhận được
his;poss. adj. của anh ấy, của cậu ấy, của chú ấy,của ông ấy,...
impose;v. bắt chịu, bắt gánh vác
kiss;v. hôn
largely;adv. rất lớn, phần lớn, chủ yếu
monitor;v. quan sát, theo dõi
operation;n. ca phẫu thuật
personal;adj. cá nhân
responsibility;n. trách nhiệm, bổn phận
rudely;adv. một cách thô lỗ
scratch;n. sự trầy da, vết thương nhẹ, vết xước
share;n. một phần (được phân chia giữa 2 hay nhiều người)
sky;n. trời
the Web;n. mạng (Internet)
tongue;n. lưỡi
toy;n. đồ chơi
alter;v. thay đổi, làm cho cái gì đó thay đổi
butter;n. bơ
classic;n. (sách, phim, bài hát) kinh điển
eighth;ordinal no. thứ tám
elbow;n. khuỷu&nbsp, tay
eye;n. mắt
fact;n. thực tế, sự thật hiển nhiên
fasten;v. đóng, cài
feed;v. cho ăn
go;v. đi
hurry;n. Nhanh lên!
indeed;adv. thực sự (dùng để nhấn mạnh)
island;n. đảo
land;n. đất
live;v. sống, sinh sống
manufacturer;n. nhà sản xuất
measurement;n. sự đo lường
organ;n. bộ phận (trên cơ thể, cây cối)
packaging;n. bao bì
poetry;n. thi ca
professor;n. giáo sư
promote;v. khuyến khích, đẩy mạnh, làm tăng thêm
purpose;n. mục đích
record;n. hồ sơ, sổ sách, biên bản
salty;adj. mặn, có nhiều muối
sector;n. khu vực, lĩnh vực
shiny;adj. sáng bóng
ship;v. vận chuyển
show;v. cho thấy, cho xem
social;adj. có tính xã hội
Tuesday;n. thứ Ba
acid;n. a-xít (một chất hóa học, thường ở dạng lỏng, pH&lt,7)
add;v. thêm vào
alone;adj, adv. một mình
careless;adj. bất cẩn
cut;v. đốn, cắt, chặt
dark;adj. tối
directly;adv. thẳng, trực tiếp
divorce;v. li hôn
excuse;n. lời xin lỗi
gamble;v. đánh bạc, cá cược
honestly;adv. một cách trung thực
later;adv. sau, sau đó
nest;n. tổ chim
packet;n. gói nhỏ, hộp nhỏ
clap;v. vỗ, vỗ tay
clerk;n. thư kí
dare;v. Dám, dám đương đầu với
enable;v. giúp, cho phép
engineer;n. kỹ sư
farmer;n. nông dân
fashionable;adj. hợp thời trang, theo mốt
fur;n. lông, bộ lông
heavily;adv. rất lớn, rất nhiều
insult;n. điều lăng mạ, xúc phạm
interval;n. khoảng thời gian giữa hai sự kiện
jewellery;n. trang sức
life;n. cuộc sống
light;adj. sáng sủa
narrow;v. thu hẹp, co lại
no one;prop. không một ai
perform;v. biểu diễn, trình diễn
pursue;v. đuổi theo, đi theo, theo đuổi
recent;adj. gần đây, mới đây
send;v. gửi đi
seventy;no. bảy mươi
sex;n. giới tính
shine;v. Chĩa ánh sáng (đèn pin..) về một hướng nào đó
skill;n. kỹ năng, kỹ xảo
somewhat;adv. hơi, một chút
spring;n. mùa xuân
still;adv. vẫn, vẫn còn
agreement;n. sự đồng ý, thỏa thuận với nhau
attached;adj. gắn bó với
behave;v. ứng xử
ceremony;n. nghi lễ
challenging;adj. thử thách, có tính thử thách
consider;v. xem như
cry;v. kêu, la, hét
disabled;adj. không có khả năng sử dụng chân tay, người tàn tật
earn;v. kiếm được (tiền...)
encounter;n. cuộc chạm trán (đột ngột, bất ngờ hoặc có bạo lực)
feeling;n. cảm giác
happen;v. Xảy ra
human;n. con người, loài người
indication;n. dấu hiệu nhận biết, chỉ báo
insulting;adj. lăng mạ, xúc phạm
jeans;n. quần bò
like;v. thích
mid-;combining form. ở giữa
much;adv. nhiều
occur;v. xảy ra
possess;v. có, sở hữu
refrigerator;n. tủ lạnh
respect;n. tộn trọng, kính trọng, khâm phục
rough;adj. gồ ghề, nhám, xù xì, lởm chởm
seek;v. tìm kiếm
smoke;v. hút (thuốc)
stone;n. đá cục
swallow;v. nuốt, tiêu hóa
swearing;n. lời nguyền rủa, chửi rủa
unhappy;adj. Không hài lòng, không vui
afternoon;n. chiều
arm;n. cánh tay
bank;n. ngân hàng
base;n. nền, cơ sở
card;n. thẻ
comedy;n. hài kịch, phim hài
criticize;v. phê bình, chỉ trích
crop;n. vụ, mùa, cây trồng
easy;adj. dễ
egg;n. trứng
fifty;no. năm mươi
ignore;v. bỏ qua, phớt lờ
impact;n. sự tác động mạnh, ảnh hưởng mạnh
instruction;n. lời chỉ dẫn, hướng dẫn
most;adv. phần lớn
national;adj. thuộc về quốc gia
noisy;adj. ồn ào
pink;n. màu hồng
ring;n. sàn đấu (boxing)
scream;v. kêu thét, la hét
solid;adj. cứng, rắn
song;n. bài hát
swelling;n. sự sưng, phồng
tape;n. băng
unconscious;adj. bất tỉnh
value;v. đánh giá, định giá
warm;adj. ấm, ấm áp
weapon;n. vũ khí
why;adv. tại sao, vì sao
you;pron. bạn, các bạn, anh, các anh, ông, ...
chest;n. ngực
could;modal verb. có thể
cream;n. kem (lấy từ sữa)
debate;v. thảo luận, tranh luận
degree;n. bằng cấp
desert;n. sa mạc
disapprove;v. không tán thành, phản đối
envelope;n. phong bì
ex-;prefix. trước đây
friendship;n. tình bạn
make-up;n. đồ trang điểm
measure;v. đo
mineral;n. khoáng chất, khoáng sản
mostly;adv. chủ yếu, hầu hết
onto;prep. (dùng với động từ để thể hiện sự chuyển động đến một nơi, vị trí nào)
property;n. tài sản
sack;n. sự sa thải
scene;n. cảnh tượng, hiện trường
sensible;adj. khôn ngoan
sheet;n. khăn trải giường
son;n. con trai
spiritual;adj. thuộc về tinh thần
spoon;n. cái thìa
star;n. ngôi sao
step;n. bước đi, tiếng bước chân
stress;v. làm căng thẳng
sum;n. khoản tiền, số tiền
the;definite article. mạo từ xác định, đề cập đến người, vật đã được nhắc trước đó hoặc có thể hiểu được
though;adv. mặc dù vậy (đặc biệt nằm ở cuối câu)
ton;n. đơn vị đo khối lượng, long ton = 2240 pounds (Anh), short ton = 2000 pounds (Mĩ)
as;conj. khi
car;n. xe ô tô
cent;n. đồng xu (1 đô la Mĩ = 100 xu)
cheek;n. má
couple;n. cặp, đôi
extra;adv. cộng thêm, nhiều hơn nữa
fellow;adj. dùng để chỉ người cùng hoàn cảnh
greatly;adv. rất nhiều
hurt;v. làm bị thương, làm đau
index;n. mục lục (Sách thư viện)
neighbourhood;n. hàng xóm, vùng lân cận
note;n. lời ghi chú
pint;n. (đơn vị đo chất lỏng và một số hàng hóa khô)
pollution;n. sự ô nhiễm
sing;v. hát
struggle;v. đấu tranh
sufficient;adj. đủ, đủ dùng (cho một việc hay mục đích nào đó)
supply;n. ‹sự/đồ/nguồn/_› dự trữ, tiếp tế cấp
totally;adv. hoàn toàn
unlike;prep. không giống như, khác với
virtually;adv. gần như, hầu như
warning;n. sự cảnh báo 
white;adj. trắng
wise;adj. khôn ngoan, sáng suốt
wonder;n. kỳ quan
wonderful;adj. tuyệt vời, kỳ diệu, tuyệt diệu
worrying;adj. đáng lo lắng
zero;number. số không
May;n. tháng Năm
alternatively;adv. hoặc là
appear;v. xuất hiện
attitude;n. thái độ
camping;n. sự cắm trại
efficient;adj. có hiệu quả, có hiệu suất, có năng suất (cao)
entrance;n. lối vào, cổng
equal;adj. bằng
existence;n. sự tồn tại, sự có mặt
fame;n. tiếng tăm, danh tiếng
fishing;n. câu cá
football;n. môn bóng đá
grocery;n. cửa hàng tạp hóa
hole;n. cái lỗ, cái hố
increase;v. tăng
lead;v. dẫn đường, dẫn dắt
model;n. mô hình, mẫu
mother;n. mẹ, má
obviously;adv. ‹một cách› rõ ràng, hiển nhiên (clearly, evidently)
order;n. đơn đặt hàng
pepper;n. hạt tiêu
some;det. một vài
strain;n. gánh nặng, áp lực
superior;n. người có vị thế, cấp bậc cao hơn, cấp trên
system;n. hệ thống, chế độ
task;n. nhiệm vụ
teaching;n. công việc giảng dạy
tonne;n. tấn (đơn vị đo khối lượng, 1 tấn = 1000 kilogam)
trade;n. thương mại
tradition;n. truyền thống
alarmed;adj. lo lắng
anyone;prop. bất cứ ai
arm;n. cánh tay
at;prep. ở, tại
bring;v. mang
candy;n. kẹo
capable;adj. có tài, có năng lực giỏi
characteristic;n. đặc trưng, đặc điểm, đặc thù, cá biệt
charge;v. tính phí
colleague;n. đồng nghiệp
entertain;v. giải trí
factor;n. nhân tố, yếu tố
fun;adj. n. vui, cuộc vui
gradual;adj. từ từ
grey;n. màu xám
hang;v. treo
hire;v. thuê, mướn, tiền trả công
inevitably;adv. chắc chắn
innocent;adj. vô tội
media;n. truyền thông
pig;n. lợn
planning;n. sự hoạch định
program;v. lập trình
progress;n. sự tiến bộ, sự tiến triển
pub;n. quán rượu
rush;n. sự vội vàng, hối hả
strong;adj. khỏe, mạnh, tốt, bền, kiên cố, đanh thép, kiên quyết, sôi nổi, nhiệt tình...
swim;v. bơi
translate;v. chuyển sang, biến thành
us;prop. chúng tôi, chúng ta (tân ngữ, đứng sau động từ, giới từ, động từ "be")
December;n. tháng Mười Hai
bowl;n. cái bát, cái tô
broadly;adv. nói chung
candidate;n. ứng cử viên, thí sinh, người dự tuyển
concern;n. mối quan tâm, lo lắng
content;adj. bằng lòng, hài lòng
curl;n. lọn tóc quăn
dishonest;adj. không trung thực
downstairs;adv. xuống cầu thang
drunk;adj. say rượu
expensive;adj. đắt
familiar;adj. quen thuộc, thông thường
fly;n. con ruồi
gentleman;n. người đàn ông phong nhã, quý phái
grade;n. lớp (xét về trình độ)
hour;n. giờ, tiếng đồng hồ
limit;n. giới hạn, hết hạn dùng
moral;adj. đạo đức
mountain;n. núi
no;exclam. Không.
outdoors;adv. ở ngoài trời, ở ngoài nhà
passing;adj. thoáng qua, ngắn ngủi
probably;adv. có thể, có lẽ
rounded;adj. có hình tròn
sail;v. đi tàu, điều khiển/ lái thuyền buồm
stable;adj. ổn định
stage;n. trình diễn, dàn cảnh, sắp xếp, tổ chức
still;adv. vẫn, vẫn còn
touch;v. đụng, chạm
transfer;v. chuyển
