and;conj. và
stuff;n. chất, thứ, món...
tiny;adj. nhỏ
access;n. quyền truy cập, sự tiếp cận 
affect;v. ảnh hưởng
annoying;adj. gây khó chịu, phiền phức
bag;n. túi, bao
beard;n. râu quai nón
broad;adj. to, rộng
campaign;n. chiến dịch
cardboard;n. giấy bìa cứng
cell;n. phòng giam
cheerful;adj. vui vẻ, vui tươi
convenient;adj. thuận tiện
first;ordinal no. thứ nhất, đầu tiên
follow;v. đi theo, theo sau
grammar;n. ngữ pháp
hesitate;v. do dự
information;n. thông tin
inner;adj. bên trong, về phía, gần trung tâm nơi nào đó
interruption;n. sự gián đoạn
knee;n. đầu gối
manage;v. quán lý, điều hành
melt;v. tan chảy
move;n. sự di chuyển
murder;v. giết người, mưu sát
once;adv. một lần
play;v. chơi
poison;v. gây nhiễm độc, đánh thuốc độc
politics;n. hoạt động chính trị
publish;v. xuất bản
put;v. đặt, để, cho vào
resolve;v. giải quyết
advertising;n. hoạt động, ngành quảng cáo
appearance;n. diện mạo, vẻ bề ngoài
appointment;n. cuộc hẹn, sự hẹn gặp
approval;n. sự chấp thuận
block;v. cản trở, ngăn chặn (sự di chuyển, đi lại)
borrow;v. mượn, vay
buyer;n. người mua
chamber;n. phòng lớn
crack;n. vết nứt, vết rạn
distinguish;v. phân biệt, nhận ra, nhận biết, phân thành, chia thành, xếp thành loại
doctor;n. bác sỹ
exception;n. ngoại lệ
fat;adj. béo, mập
function;n. chức năng, nhiệm vụ
granddaughter;n. cháu gái (nội, ngoại)
increase;v. tăng
instead of;prep. thay vì
lightly;adv. nhẹ nhàng, với ít nỗ lực
match;v. ghép, nối
mouse;n. con chuột (máy tính)
powder;n. phấn phủ
proper;adj. đúng, thích hợp
refuse;v. từ chối
resort;n. khu nghỉ dưỡng
reverse;adj. ngược lại
scream;v. kêu thét, la hét
sew;v. may, may vá, khâu
shower;n. vòi sen
spell;v. đánh vần
unable;adj. không thể
amount to something;v. lên đến, tổng cộng lên đến
authority;n. quyền lực
bush;n. bụi cây
but;conj. nhưng
catch;v. bắt lấy, nắm lấy
custom;n. phong tục
ease;v. làm dịu đi
gambling;n. hoạt động cá cược, đánh bạc
harmless;adj. vô hại
hate;v. ghét, không thích
ideal;adj. lý tưởng
illegal;adj. bất hợp pháp, trái phép
lay;v. đẻ (trứng)
liquid;n. chất lỏng
newly;adv. mới đây
not;adv. không
pity;n. điều đáng tiếc
prompt;v. nhanh chóng (trịnh trọng)
publishing;n. nghề, ngành xuất bản
resort to something;v. phải sử dụng đến hay viện đến (giải pháp cuối cùng)
size;n. cỡ
today;n. hôm nay
transportation;n. giao thông
triangle;n. hình tam giác
twelve;cardinal no. số mười hai
uncertain;adj. nghi ngờ, không chắc chắn
violent;adj. có nhiều cảnh bạo lực
violently;adv. một cách kịch liệt
wall;n. tường
want;v. muốn, muốn có
age;n. tuổi
between;prep. ở giữa
blind;adj. mù, không nhìn thấy được
cheap;adj. rẻ, rẻ tiền
completely;adv. hoàn toàn
confront;v. chạm trán, đương đầu với
cure;n. thuốc, phương thuốc, cách chữa bệnh
deep;adj. sâu
employee;n. nhân viên, người lao động
ever;adv. có lúc nào (dùng trong câu phủ định và câu hỏi, hoặc câu có "if")
flying;n. việc đi máy bay
kind;adj. tử tế, ân cần
kitchen;n. phòng bếp
limit;n. giới hạn, hết hạn dùng
love;v. yêu
make;v. tạo ra, làm ra
modern;adj. hiện đại
phone;v. điện thoại
point;v. chỉ ra điều gì
project;v. kế hoạch, đồ án, dự án
request;n. lời thỉnh cầu, lời yêu cầu
reservation;n. sự dành trước, sự đặt chổ trước
resource;n. nguồn, nguồn lực
shock;n. cú sốc, choáng
sort;v. sắp xếp, phân loại
through;prep. xuyên qua, xuyên suốt
trend;n. xu hướng
unemployed;adj. thất nghiệp
unlucky;adj. xui, không may mắn
unusual;adj. lạ, hiếm, khác thường
agency;n. cơ quan, đại lí
beer;n. bia
birth;n. lúc sinh ra, sự sinh đẻ
biscuit;n. bánh quy
called;adj. được gọi là, có tên là
discovery;n. sự tìm ra, khám phá
disgust;v. làm ai đó ghê tởm
evil;n. điều xấu, ác
exhibition;n. buổi triển lãm
explode;v. nổ, làm nổ
famous;adj. nổi tiếng
film;v. làm phim, quay phim
formerly;adv. trước đây
frighten;v. làm ai lo sợ
imagination;n. sự tưởng tượng, trí tưởng tượng
link;n. liên kết, chỗ nối
member;n. thành viên
nevertheless;adv. tuy nhiên
next;adj. tiếp theo, kế tiếp
pay;v. trả, đưa
place;n. nơi chốn
pronunciation;n. cách phát âm, sự phát âm
rob;v. cướp
secretary;n. thư kí
soft;adj. mềm
store;n. cửa hàng
stream;n. dòng suối
substantially;adv. về thực chất, về bản chất, về cơ bản, lớn lao, đáng kể
train;n. tàu hỏa
truck;n. xe tải
above;adv. trên
away;adv. cách xa
biology;n. môn sinh học
Friday;n. thứ Sáu
book;n. sách, quyển sách
bore;v. khiến ai chán
bullet;n. (viên) đạn
congratulate;v. chúc mừng
cook;n. đầu bếp
curb;n. sự kềm chế, hạn chế
dance;v. nhảy, khiêu vũ
decoration;n. sự, đồ trang trí
draw;v. vẽ
farm;n. nông trại, trang trại
fifth;ordinal no. thứ năm
four;cardinal no. số bốn
grave;adj. trang nghiêm, nghiêm nghị
hand;n. bàn tay
p.m.;abbreviation. sau 12 giờ trưa (từ viết tắt của tiếng Latin "post meridiem")
pen;n. bút mực
phrase;n. cụm từ
regional;adj. (thuộc) khu vực, vùng
should;v. nên
shy;adj. bẽn lẽn, hay xấu hổ, nhút nhát
single;n. đĩa đơn
stare;v. nhìn chằm chằm
stay;v. giữ, giữ gìn
strange;adj. lạ lẫm
sugar;n. đường
sweep;v. quét
act;v. hành động
advice;n. lời khuyên
bike;n. xe đạp
bitter;adj. đắng
come;v. đến, tới
commit;v. gửi, giao, giao phó, ủy nhiệm, ủy thác
covering;n. một lớp phủ gì đó
delicate;adj. dễ vỡ (đồ thuỷ tinh...), dễ bị tổn thương, phá hủy
destroy;v. tàn phá, phá hủy
either;adv. cũng vậy (đứng sau cụm phủ định để thể hiện sự đồng tình)
firm;n. hãng, công ty
fry;v. rán, chiên 
juice;n. nước cốt
listen;v. nghe
lonely;adj. cô đơn
offer;n. đề xuất, đề nghị, chào mời, chào hàng
pet;n. thú cưng, vật nuôi
photo;n. ảnh chụp, bức ảnh (viết tắt của photograph)
pile;v. chất đống lên, trở nên nhiều hơn
plus;prep. cộng thêm
shake;v. rung, lắc
sign;n. bảng hiệu, dấu hiệu
strength;n. điểm mạnh, sức mạnh, sức lực
suspicion;n. mối nghi ngờ
tablet;n. viên thuốc
talk;v. nói chuyện, chuyện trò
thoroughly;adv. rất nhiều, hoàn toàn
tie;v. trói, buộc
used;adj. thuộc về, đã qua sử dụng
win;v. chiến thắng, đạt được
admire;v. ngưỡng mộ
advance;n. sự xảy ra trước
advertise;v. quảng cáo, đăng tin (tuyển dụng...)
alarming;adj. đáng lo ngại
band;n. ban nhạc
bathroom;n. phòng tắm
capital;n. thủ đô
chart;n. biểu đồ
common;n. sự chung, của chung
concerned;adj. quan tâm, lo lắng
critical;adj. chỉ trích, chê bai
election;n. cuộc bầu cử
finger;n. ngón tay
flag;n. cờ
flow;v. chảy
gain;n. sự gia tăng (về lượng như tiền bạc, cân nặng...)
gasoline;n. xăng (dùng để chạy động cơ)
generation;n. thế hệ
humour;n. sự, khiếu hài hước
indoors;adv. trong nhà
insert;v. chèn vào, cho vào
instance;n. ví dụ, trường hợp cụ thể
jealous;adj. ghen tuông
leading;adj. hàng đầu, chính, quan trọng
minister;n. (ở Anh và một số nước khác) bộ trưởng
plant;n. thực vật, cây
poem;n. bài thơ
poor;adj. nghèo, bần cùng
reasonably;adv. vừa phải, tạm được
related;adj. có liên quan
Wednesday;n. thứ Tư
baby;n. bé
concrete;n. bê tông
conference;n. hội nghị
contain;v. chứa, bao gồm
day;n. ngày
depth;n. độ sâu
detail;v. chi tiết, tỉ mỉ
dress;n. đầm, váy dài
extend;v. gia hạn, kéo dài (thời hạn...)
field;n. cánh đồng
fold;v. gập, gấp
forget;v. quên
frame;n. khung
full;adj. đầy đặn, dày
girlfriend;n. bạn gái
husband;n. chồng
knit;v. đan (len, sợi,...)
medicine;n. thuốc
mentally;adv. về mặt trí tuệ, thần kinh
raise;v. nâng lên, đưa lên
relief;n. sự nhẹ nhõm
repair;v. sửa, sửa chữa (máy móc)
senior;adj. chức cao, thâm niên
smash;v. đập vỡ
softly;adv. một cách nhẹ nhàng, êm ái
structure;n. cấu trúc, công trình kiến trúc
suggest;v. góp ý, gợi ý
training;n. ‹sự› rèn luyện, tập luyện, huấn luyện, dạy dỗ, đào tạo
writer;n. nhà văn
ambition;n. hoài bão, tham vọng
aspect;n. khía cạnh
break;n. giờ giải lao
bright;adj. sáng sủa
cool;adj. ngầu, chất, phong cách, tuyệt
cracked;adj. bị nứt, bị rạn
curve;n. đường, bề mặt cong, đường vòng
electronic;adj. điện tử
every;det. mỗi
extent;n. mức độ
feather;n. lông vũ
female;adj. nữ, giống cái
latter;n. điều thứ hai trong hai thứ, nhóm người..., thứ cuối cùng trong một danh sách
luggage;n. hành lý, đồ đạc
metal;n. kim loại
moreover;adv. hơn thế nữa, thêm vào đó
painting;n. bức tranh
player;n. người chơi
practically;adv. hầu như, gần như
practice;v. thực hành, rèn luyện 
spare;adj. thừa, dư
spot;n. mụn nhọt
stay;v. giữ, giữ gìn
striking;adj. nổi bật, gây ấn tượng sâu sắc
tone;n. giọng (lối diễn đạt trong khi nói)
unique;adj. độc đáo, duy nhất
upwards;adv. về phía trên, cao hơn
virus;n. vi-rút, siêu vi khuẩn
vocabulary;n. từ vựng
wander;v. đi lang thang, đi không định hướng
all right;exclamation. Được rồi, Đúng rồi
audience;n. khán giả
bet;n. sự cá cược, tiền cá cược
branch;n. nhánh cây
dancer;n. vũ công
deep;adj. sâu
deserted;adj. bỏ hoang, hoang vắng
dislike;v. không thích
heat;v. đun nóng
heaven;n. thiên đường 
laboratory;n. phòng thí nghiệm
man;n. đàn ông
observation;n. sự quan sát
original;n. nguyên thủy
partner;n. bạn (cùng phe, cùng nhóm)
physical;n. khám sức khỏe
safe;adj. an toàn
sharp;adj.  thông minh, láu lỉnh
sideways;adv. từ, tới một bên
software;n. phần mềm, chương trình máy tính
special;adj. đặc biệt
statement;n. sự trình bày, bản kê
thumb;n. ngón tay cái
tire;n. lốp xe
trust;n. sự tin tưởng, tín nhiệm
uncontrolled;adj. không thể kiểm soát, ngăn chặn được
underneath;prep. ở phía dưới
washing;n. việc giặt quần áo
wave;v. vẫy tay
weather;n. thời tiết
according to;prep. theo như
aged;adj. ở tuổi
alternative;adj. xen kẽ, thay thế, luân phiên
bend;n. chỗ uốn, chỗ rẽ (sông, con đường...)
brain;n. não bộ
cost;v,n. có giá là, chi phí
dying;adj. chết, lúc sắp chết
exaggerate;v. phóng đại, cường điệu
face;n. khuôn mặt
farming;n. việc quản lí trang trại, nghề làm nông
fix;v. lắp, sửa chữa
folding;adj. có thể gập lại được
forecast;v. dự báo, dự đoán, đoán trước
frightening;adj. gây lo sợ
great;adj. tuyệt vời
hi;exclamation. chào!
interpretation;n. cách hiểu, giải thích
knowledge;n. kiến thức, sự hiểu biết
originally;adv. ban đầu, lúc đầu
possible;adj. có thể
rear;adj. ở đằng sau, phía sau
scale;n. tỉ lệ, cân
seriously;adv. một cách nghiêm trọng, nghiêm túc
shelter;v. cho ai chỗ ở, bảo vệ
shortly;adv. một thời gian ngắn, không lâu
swimming;n. môn bơi lội
talk;v. nói chuyện, chuyện trò
tax;n. thuế
thus;adv. vì vậy
o'clock;n. giờ (dùng nói giờ chẵn)
across;prep. ở bên kia
apply;v. nộp, ứng tuyển
bored;adj. cảm thấy nhàm chán
cable;n. dây neo, dây cáp
client;n. khách, khách hàng
close;v. đóng lại
competition;n. cuộc thi
confidence;n. sự tin tưởng, sự tin cậy
council;n. hội đồng
defend;v. phòng thủ
discover;v. khám phá
dump;n. bãi đổ, nơi chứa
education;n. việc giáo dục
engage;v. thu hút (sự chú ý…), giành được (tình cảm…)
fine;adj. mạnh, khỏe, tốt
force;v. bắt buộc
formula;n. công thức
hard;adv. vất vả,chăm chỉ
mark;n. dấu vết
motion;n. sự chuyển động
process;n. quá trình
promptly;adv. mau lẹ, nhanh chóng, ngay lập tức, tức thời
radio;n. ra đi ô
religious;adj. thuộc tôn giáo
retirement;n. sự nghỉ hưu
rice;n. lúa, gạo, cơm
series;n. phim dài kỳ trên truyền hình
spoken;adj. (liên quan đến việc) nói
standard;n. tiêu chuẩn
sweet;n. ngọt
afterwards;adv. sau đó
beyond;adv. ở bên kia, xa hơn (về thời gian)
black;adj. đen
clothes;n. trang phục
collection;n. sự sưu tầm, bộ sưu tập
command;n. ra lệnh
conventional;adj. thông thường, bình thường
criterion;n. tiêu chuẩn
fairly;adv. khá, kha khá
foreign;adj. thuộc nước ngoài, từ nước ngoài
grave;adj. trang nghiêm, nghiêm nghị
hill;n. đồi
hundred;number. một trăm (100)
lawyer;n. luật sư
musical;adj. (thuộc về) âm nhạc
nurse;n. y tá
outer;adj. bên ngoài
pound;n. đồng bảng Anh
qualification;n. năng lực, trình độ (để làm cái gì)
reserve;n. sự dự trữ
sit;v. ngồi
sixty;no. sáu mươi
slope;n. dốc, con dốc
spread;n. phết, lan rộng
stamp;n. tem
stretch;v. kéo dài, căng ra
tyre;n. lốp xe
unlikely;adj. không thể xảy ra
yet;conj. chưa
young;adj. trẻ
affair;n. sự kiện (có tầm quan trọng về chính trị, thu hút sự chú ý công chúng)
aircraft;n. máy bay
animal;n. động vật, con vật
balance;v. quyết toán
brave;adj. dũng cảm
bread;n. bánh mì
craft;n. thủ công
cultural;adj. thuộc về văn hóa
electricity;n. điện
employment;n. công việc làm
express;adj. nhanh, hỏa tốc, tốc hành.
function;n. chức năng, nhiệm vụ
midnight;n. nửa đêm, 12 giờ đêm
officer;n. sĩ quan
premises;n. tài sản, nhà cửa, cơ sở (kinh doanh...)
pull;v. kéo
remark;n. lời nhận xét, ý kiến
rub;v. cọ xát, chà xát
score;v. ghi bàn (thể thao)
signal;n. tín hiệu
simple;adj. đơn giản
soldier;n. người lính
split;n. sự chia bè phái, chia rẽ
supply;n. ‹sự/đồ/nguồn/_› dự trữ, tiếp tế cấp
thirteen;cardinal no. số mười ba
trillion;number. một triệu triệu, 1000000000000
wake;v. tỉnh dậy, thức dậy
website;n. trang web
weigh;v. cân, cân nặng
will;n. mong muốn, ý chí
alarm;v. khiến ai đó lo lắng, hoảng sợ
all;adv. tất cả
automatic;adj. tự động
bone;n. xương
chain;n. dây xích, chuỗi
climbing;n. môn, hoạt động leo núi
conclusion;n. kết luận
context;n. ngữ cảnh, hoàn cảnh
daily;adj. hằng ngày
disappear;v. biến mất, biến đi
end;n. sự kết thúc
farther;adj. ở xa hơn (không gian, phương hướng, thời gian)
governor;n. người cầm quyền (của một quốc gia, khu vực)
growth;n. sự tăng trưởng
hear;v. nghe
injury;n. vết thương, thương tổn
line;n. đường kẻ
open;v. mở
past;past. qua (khi nói giờ)
post;v. đăng tin
punch;n. cú đấm
rank;n. thứ hạng
ruin;v. hủy hoại, phá hỏng
season;n. mùa
spider;spider. con nhện
tube;n. ống, tuýp
underground;adv. dưới mặt đất
unexpected;adj. gây bất ngờ, ngạc nhiên
urban;adj. thuộc đô thị
vary;v. khác nhau
Sunday;n. Chủ nhật
abandoned;adj. bị bỏ rơi, bỏ hoang
absent;adj. vắng mặt, đi vắng
answer;v. trả lời
believe;v. tin
college;n. đại học
colour;n. màu sắc
disapproval;n. sự phản đối, không tán thành
disaster;n. thảm họa, tai họa
disease;n. bệnh, bệnh tật
finance;n. tài chính
gate;n. cổng
historical;adj. có liên quan đến sự kiện của quá khứ, (thuộc về) lịch sử
imaginary;adj. chỉ tồn tại trong tâm trí, trí tưởng tượng
leg;n. chân
occasion;n. dịp, cơ hội
poison;v. gây nhiễm độc, đánh thuốc độc
professional;adj. chuyên nghiệp
reach;v. đạt đến một mốc hay giai đoạn nào đó
smile;v. cười, mỉm cười
so;conj. vì vậy, do vậy 
specially;adv. đặc biệt, riêng biệt, chỉ dành cho
sport;n. môn thể thao
terribly;adv. rất
thanks;n. cảm ơn
treat;v. đối xử
violence;n. bạo lực, cảnh phim bạo lực
waste;v. lãng phí
when;adv. khi nào, bao giờ
whisper;n. lời, sự thì thầm
armed;adj. có sử dụng vũ khí
aunt;n. cô, dì, bác gái
better;v. cải thiện, làm cho tốt hơn
curtain;n. màn, rèm
deliver;v. phân phát (thư), giao (hàng), đưa ai đến đâu
difficult;adj. khó
distribute;v. phân phối
essentially;adv. về cơ bản
event;n. sự kiện
feature;n. điểm đặc trưng
finish;v. hoàn thành, kết thúc
forest;n. rừng
ground;n. mặt đất
imply;v. ngụ ý, hàm ý, ẩn ý, ý nói
indirect;adj. gián tiếp
ingredient;n. thành phần, nguyên liệu
justified;adj. có lí do chính đáng để làm gì
milligram;n. (đơn vị đo khối lượng, 1, 1000 của gam)
option;n. sự chọn lựa, quyền lựa chọn
particularly;adv. rất, cực kì, đặc biệt (ở một vùng, khu vực nào đó)
race;n. cuộc đua
room;n. phòng
satisfying;adj. mang lại sự hài lòng
sensitive;adj. nhạy cảm
servant;n. người đầy tớ, người hầu
shape;n. hình dáng
shoulder;n. vai
show;v. cho thấy, cho xem
trace;n. dấu vết
unfriendly;adj. không thân thiện
absolutely;adv. hoàn toàn
agent;n. đại lý
alongside;prep. kế bên, dọc theo
bath;n. bồn tắm
certainly;adv. dĩ nhiên
clear;v. dọn, dọn dẹp
complete;v. hoàn thành
conscious;adj. trong trạng thái tỉnh táo, biết rõ
consideration;n. sự cân nhắc, suy xét
desire;v. thèm muốn, khao khát, ao ước
enjoyable;adj. thích thú, thú vị
equally;adv. ngang nhau, như nhau
food;n. thức ăn, lương thực
gently;adv. một cách nhẹ nhàng
glue;n. keo hồ
gun;n. súng
healthy;adj. khỏe mạnh, có lợi cho sức khỏe
help;v. giúp, giúp đỡ
history;n. môn Lịch sử, lịch sử
hunting;n. sự săn bắt, săn bắn
killing;n. hành động giết ai (một cách cố ý)
kilometre;n. ki-lo-met
late;adj. muộn, trễ
loud;adj. to
massive;adj. đồ sộ, chắc nặng
organized;adj. có tổ chức (gồm rất nhiều người tham gia)
over;prep. trên
pose;n. tư thế (chụp ảnh...)
private;adj. (thuộc về, dùng cho) cá nhân hoặc nhóm người nào đó, không dùng cho mục đích công cộng
program;v. lập trình
academic;adj. có tính học thuật
account;n. tài khoản
amazing;adj. tuyệt vời
around;prep. xung quanh, vòng quanh
bacteria;n. vi khuẩn
born;adj. được sinh ra
building;n. tòa nhà, tòa cao ốc
capture;v. bắt, đoạt được, chiếm được
character;n. nhân vật
club;n. câu lạc bộ
cookie;n. bánh quy
corner;n. góc
crisis;n. khủng hoảng
data;n. dữ liệu
dinner;n. bữa tối
drama;n. kịch, phim nhiều tập
effective;adj. có hiệu quả, có tác dụng
freshly;adv. vừa mới làm gì (+ p.p)
fruit;n. trái cây
god;n. chúa
insult;n. điều lăng mạ, xúc phạm
loyal;adj. trung thành, trung nghĩa, trung kiên
manager;n. giám đốc
medium;n. phương tiện (giao tiếp)
parliament;n. nghị viện, quốc hội
reading;n. việc đọc
respond;v. hồi âm, phúc đáp
reverse;adj. ngược lại
revise;v. đọc lại, xem lại, duyệt lại, sửa lại (bản in thử, đạo luật...)
safely;adv. một cách an toàn
DVD;n. đĩa DVD
January;n. tháng Một
approving;adj. (thể hiện sự) chấp thuận, đồng ý
clothing;n. áo quần
down;prep. xuống
eighty;no. tám mươi
examine;v. Khảo sát, nghiên cứu
excite;v. kích thích, kích động
expose;v. phơi bày, bộc lộ
fashion;adj. thời trang, mốt
federal;adj. (thuộc) liên bang
frequent;adj. thường xuyên, hay xảy ra
from;prep. từ
interrupt;v. gián đoạn
join;v. tham gia
note;n. lời ghi chú
performer;n. người trình diễn (show, hòa nhạc,...)
price;n. giá tiền
question;n. câu hỏi
review;n. bài đánh giá, lời đánh giá
safety;n. sự an toàn
screen;v. sàng, lọc (hồ sơ xin việc)
seed;n. hạt giống
spend;v. sử dụng, trải qua
swell;v. sưng, phồng
sympathy;n. mối thiện cảm, thông cảm
throw;v. ném, quăng
tour;v. đi quanh một nơi nào (đi nghỉ, trình diễn, quảng cáo cái gì)
try;v. cố gắng
whom;prop. thay cho "who" như là tân ngữ của động từ hoặc giới từ
advance;n. sự xảy ra trước
anticipate;v. đoán trước, liệu trước
cash;n. tiền mặt
chocolate;n. sô-cô-la
cloth;n. vải
contemporary;adj. cùng thời, đương thời
dollar;n. đô la
dot;n. dấu chấm
further;adj. hơn, thêm nữa
grandchild;n. cháu (nội, ngoại)
hand;n. bàn tay
injure;v. làm bị thương
issue;n. vấn đề
keep;v. giữ, duy trì
military;adj. (thuộc về) quân đội
organize;v. tổ chức
partly;adv. một phần
queen;n. nữ hoàng
release;v. phát hành
relevant;adj. có liên quan
sand;n. cát
second;ordinal no. thứ hai, thứ nhì
severe;adj. cực kì nghiêm trọng, trầm trọng
sticky;adj. dính
substantial;adj. lớn, đáng kể
thread;n. sợi chỉ, sợi vải, len
trap;v. làm ai mắc kẹt
untidy;adj. không gọn gàng, rối, lôi thôi
wherever;conj. bất kì nơi đâu
anniversary;n. ngày/lễ kỷ niệm
anxiety;n. sự lo lắng
arms;n. vũ khí (đặc biệt trong quân đội, hải quân...)
arrow;n. mũi tên
ball;n. trái banh
battle;n. trận chiến đấu, trận đánh
belt;n. thắt lưng
breed;v. nuôi, gây giống
cause;v. gây ra
cinema;n. rạp chiếu phim
combine;v. kết hợp, phối hợp
cross;n. chữ thập, dấu chéo
