and;conj. và
disappointment;n. sự thất vọng
imagine;v. tưởng tượng, hình dung
involve;v. bao gồm, liên quan
job;n. công việc, nghề nghiệp
matter;n. chủ đề, vấn đề, việc, chuyện
measure;v. đo
meet;v. gặp, gặp mặt
moon;n. mặt trăng
open;v. mở
potato;n. khoai tây
proudly;adv. một cách tự hào
raw;adj. còn sống (chưa được nấu)
remove;v. loại bỏ
secret;n. bí mật
separate;v. chia, tách
shall;modal verb. sẽ (dùng với "I" hoặc "we")
simply;adv. chỉ đơn giản là
smell;v. ngửi, có mùi, mùi hương
achievement;n. thành tích, thành tựu
bargain;n. món hời, cơ hội tốt (buôn bán)
constant;adj. không dứt, liên tục
effort;n. nỗ lực
hero;n. anh hùng
lead;v. dẫn đường, dẫn dắt
limited;adj. hạn chế, không nhiều, lớn
maybe;adv. có lẽ
seat;n. chỗ ngồi
shooting;n. bắn súng
skirt;n. váy, chân váy
steal;v. ăn cắp, lấy trộm
style;n. phong cách
terrible;adj. kinh khủng
theme;n. đề tài, chủ đề
tight;adv. chặt
tomorrow;n. ngày mai
too;adv. cũng
translation;n. bản dịch, bài dịch
travel;v. đi lại, đi du lịch
variation;n. sự thay đổi, biến đổi (về lượng hoặc mức độ)
vegetable;n. rau quả
vertical;adj. (theo chiều) thẳng đứng, dọc
weakness;n. điểm yếu, nhược điểm, khuyết điểm
whose;prop. của ai
wind;n. gió
wine;n. rượu
wing;n. cánh (chim, côn trùng, máy bay…)
worry;v. lo lắng
worst;adj. tệ nhất
a;indefinite article. đứng trước danh từ số ít, đếm được, đề cập đến người, vật mà chưa được nhắc đến trước đó.
amaze;v. làm kinh ngạc, sửng sốt
average;n. trung bình
burn;v. đốt, cháy
cheat;v. lừa ai
climb;v. leo trèo
depress;v. làm ai chán nản, sầu não
head;n. đầu
horror;n. sự kinh hoàng
hotel;n. khách sạn
idea;n. ý tưởng
identity;n. bản sắc
instead;adv. thay vào đó
intend;v. có ý định, có mục đích
label;n. dán nhãn, ghi nhãn
mass;n. khối, đống
normal;adj. bình thường
plot;n. cốt truyện, nội dung chính
precisely;adv. chính xác
principle;n. nguyên tắc
read;v. đọc
remarkable;adj. phi thường, đáng chú ý
rush;n. sự vội vàng, hối hả
sadly;adv. không may là
sail;v. đi tàu, điều khiển/ lái thuyền buồm
then;adv. sau đó
umbrella;n. ô, dù
underwear;n. quần áo lót
user;n. người dùng
wallet;n. ví (thường dùng cho nam giới)
anyway;adv. hơn nữa
belief;n. niềm tin, quan niệm
disapproving;adj. thể hiện sự phản đối
during;prep. trong suốt (khoảng thời gian)
good;adj. tốt
initial;adj. ban đầu, đầu
institute;n. học viện, viện
justice;n. sự công bằng
layer;n. tóc tỉa nhiều tầng
long;adj. dài
mud;n. bùn
nearby;adv. gần đây
opinion;n. ý kiến, quan điểm
pale;adj. nhợt nhạt (làn da)
port;n. thành phố cảng
present;v. đưa ra, bày tỏ, giới thiệu
procedure;n. thủ tục, các bước tiến hành 
request;n. lời thỉnh cầu, lời yêu cầu
sewing;n. sự may vá, khâu vá
soon;adv. sớm
state;v. phát biểu, nói rõ, tuyên bố
stomach;n. dạ dày
suspect;v. nghi ngờ, ngờ vực
taxi;n. taxi
thank;v. cảm ơn
uncle;n. chú, cậu, bác trai
under;adv. dưới
union;n. công đoàn
war;n. chiến tranh
whereas;conj. ngược lại, trong khi đó
-ish;suffix. đến từ đất nước nào
civil;adj. (thuộc) công dân
collect;v. thu nhặt, sưu tập
cottage;n. căn nhà nhỏ (ở nông thôn)
drawer;n. ngăn kéo
employer;n. chủ, người sử dụng lao động
false;adj. giả, sai
keyboard;n. bàn phím
lift;v. nâng lên, nhấc lên
lost;adj. đã mất / bị lạc
magic;n. phép thuật, ma thuật
memory;n. trí nhớ
middle;adj. giữa
ninth;ordinal no. thứ chín
plain;n. đồng bằng
remote;adj. xa xôi, hẻo lánh
replace;v. thay thế
rescue;n. sự cứu, giải cứu
shave;v. cạo (râu, tóc)
small;adj. nhỏ, bé
stupid;adj. ngu
substance;n. chất
surface;n. mặt, bề mặt
surname;n. họ
tea;n. trà
tent;n. lều
tip;n. tiền boa
traditional;adj. truyền thống
wild;adj. dại, hoang dã
yes;exclam. vâng, đúng
atmosphere;n. không khí
attraction;n. điểm thu hút
become;v. trở nên, trở thành
bird;n. chim
circumstance;n. trường hợp, hoàn cảnh, tình huống
cooker;n. nồi nấu
cupboard;n. tủ đựng đồ ăn, tủ đựng bát đĩa, tủ đựng quần áo, ...
dismiss;v. sa thải
eighth;ordinal no. thứ tám
elegant;adj. thanh lịch, tao nhã
empire;n. đế quốc
facility;n. cơ sở vật chất, trang thiết bị
impression;n. ấn tượng, cảm tưởng
inch;n. (đơn vị đo chiều dài) insơ
method;n. phương pháp, cách thức
metre;n. mét (đơn vị đo độ dài, 100 cm)
nonsense;n. vô lý
overcome;v. vượt qua
play;v. chơi
prison;n. nhà tù
receipt;n. giấy biên nhận
rubber;n. cao su
signal;n. tín hiệu
southern;adj. ở phía nam
suitable;adj. phù hợp
upper;adj. trên một cái gì khác (nhất là cái gì tương tự)
very;adv. rất
waist;n. cái eo (cơ thể người)
whether;conjunction. liệu có ... không
wife;n. vợ
July;n. tháng Bảy
account;n. tài khoản
air;n. không khí
charity;n. hội từ thiện, việc từ thiện
condition;n. điều kiện, tình trạng
difficulty;n. khó khăn
doubt;v. không chắc chắn, nghi ngờ
energy;n. năng lượng, sức lực
enjoy;v. yêu thích, thưởng thức
enthusiasm;n. lòng nhiệt tình
fault;n. lỗi, sai lầm
garage;n. nhà xe
gold;adj. vàng
involved;adj. tham gia vào, có liên quan
jelly;n. thạch
lift;v. nâng lên, nhấc lên
objective;n. mục tiêu, mục đích, khách quan
oddly;adv. một cách kì lạ
outdoor;adj. ngoài trời, ở ngoài
perhaps;adv. có lẽ
personality;n. tính cách, cá tính
present;v. đưa ra, bày tỏ, giới thiệu
protection;n. sự bảo vệ
reality;n. thực tế, thực tại
say;v. nói ( cái gì)
science;n. khoa học, môn Khoa học
secret;n. bí mật
smoking;n. thói quen, sự hút thuốc
specifically;adv. một cách cụ thể và chính xác
speed;n. tốc độ
burnt;adj. bị bỏng, bị cháy
challenge;n. thử thách
committee;n. ủy ban, hội đồng
convince;v. Thuyết phục
currently;adv. hiện tại, lúc này
decline;n. sự suy giảm
drag;v. kéo lê
everyone;pron. mọi người
fan;n. người hâm mộ
fellow;adj. dùng để chỉ người cùng hoàn cảnh
fly;n. con ruồi
front;adj. phía trước
hundredth;n. một phần trăm
lean;v. ngả, nghiêng
length;n. chiều dài
lung;n. lá phổi
message;n. thông báo, lời nhắn
nervous;adj. lo lắng, hồi hộp
old-fashioned;adj. lỗi thời
react;v. phản ứng
reason;n. lý do
ride;v. đi (xe), cưỡi (ngựa,…)
riding;n. môn, hoạt động cưỡi ngựa
smell;v. ngửi, có mùi, mùi hương
thick;adj. dày
tip;n. tiền boa
to;infinitive marker. để mà
transform;v. thay đổi, biến đổi
winter;n. mùa đông
with;prep. với
accident;n. tai nạn
actual;adj. thực sự
begin;v. bắt đầu
bus;n. xe buýt
decade;n. thập kỷ, thời kỳ mười năm
fish;n. cá
gain;n. sự gia tăng (về lượng như tiền bạc, cân nặng...)
harm;n. sự tổn hại
high;adj. cao
intention;n. ý định, mục tiêu
land;n. đất
maximum;n. mức tối đa
meeting;n. buổi họp
milk;n. sữa
multiply;v. nhân, nhân lên
oppose;v. chống đối, phản đối
oven;n. lò (hấp, nướng đồ ăn)
place;n. nơi chốn
plan;n. kế hoạch, dự án
pleased;adj. hài lòng, thoả mãn
protest;v. phản đối
punish;v. phạt, trừng phạt
situation;n. tình hình, vị thế
source;n. nguồn, nguồn gốc
steep;adj. nhanh (tăng, giảm)
strip;n. mảnh (vải, giấy...), dải (đất,...)
there;adv. ở đó
treatment;n. sự điều trị
tune;n. điệu, giai điệu
underwater;adj. dưới nước
appreciate;v. đánh giá cao, cảm kích
book;n. sách, quyển sách
class;n. lớp học
confine;v. hạn chế, giới hạn
courage;n. lòng dũng cảm, can đảm
crime;n. tội ác, tội phạm
criticism;n. sự phê bình, chỉ trích
cup;n. tách
each;prop. mỗi
high;adj. cao
into;prep. vào trong
jacket;n. áo khoác (ngắn, nhẹ)
joint;adj. chung, cùng
manner;n. tác phong, phong cách, cách cư xử
number;n. số
order;n. đơn đặt hàng
pace;n. nhịp độ, tốc độ
precise;adj. chính xác
preference;n. sự ưu tiên
preparation;n. ‹sự› chuẩn bị, sửa soạn
rule;n. quy tắc, phép tắc
shirt;n. áo sơ mi
snake;n. con rắn
somewhere;adv. ở, đến một nơi nào đó
television;n. truyền hình, TV, máy thu hình
together;adv. cùng nhau
town;n. phố, thị trấn
until;prep. cho tới
wait;v. đợi, đợi chờ
wrongly;adv. một cách bất công, sai trái, không đúng
affection;n. tình yêu thương
broadcast;n. chương trình phát sóng
compare;v. so sánh
container;n. thùng chứa
decide;v. quyết định
element;n. yếu tố
eleven;cardinal no. số mười một
figure;n. con số
find;v. tìm kiếm
frozen;adj. được bảo quản ở nhiệt độ thấp, đông lạnh
guess;v. phỏng đoán
headache;n. đau đầu
hearing;n. thính giác
heart;n. tim
hello;n. xin chào! (dùng khi gặp ai, câu mở đầu khi nói điện thoại...)
impress;v. gây ấn tượng, để lại ấn tượng
knock;v. gõ (cửa)
lady;n. cô gái, quý bà (đặc biệt người lớn tuổi, cách nói lịch sự)
little;adv. nhỏ, ít
majority;n. phần lớn, đa số
mind;v. phiền, bực mình, lo lắng
neighbour;n. hàng xóm
office;n. văn phòng
often;adv. thường xuyên, hay
pleasure;n. điều thú vị, niềm vui thích
pointed;adj. (có đầu) nhọn
range;n. phạm vi
rumour;n. lời đồn, tin đồn
schedule;n. chương trình, lịch trình
sweet;n. ngọt
accurate;adj. chính xác
appoint;v. chỉ định, bổ nhiệm
before;adv. trước
contrast;v. đối chiếu, làm tương phản
credit;n. tín dụng
curious;adj. tò mò, thích tìm&nbsp, hiểu
dangerous;adj. nguy hiểm
depressing;adj. gây chán nản, thất vọng
fish;n. cá
gram;n. 1 gam
he;pron. anh ấy, chú ấy, bác ấy, cậu ấy,...(dùng cho nam giới)
itself;prop. chính nó
journey;n. chuyến đi
legal;adj. (thuộc về) pháp luật, pháp lí
lip;n. môi
located;adj. ở vị trí
nothing;prop. không cái gì
nuclear;adj. thuộc hạt nhân
plenty;prop. nhiều
prince;n. hoàng tử
self;combining form. tự mình
sense;n. giác quan, tri giác, cảm giác
stroke;v. vuốt ve
tell;v. bảo, nói cho biết
temporary;adj. tạm thời, nhất thời, lâm thời
threat;n. lời đe dọa
tropical;adj. có tính chất nhiệt đới, thuộc vùng nhiệt đới
trouble;n. điều lo lắng, điều rắc rối, điều phiền muộn
usually;adv. thường thường, thường xuyên
would;modal verb. (quá khứ của "will", dùng trong câu tường thuật)
absence;n. sự, thời gian vắng mặt
anxious;adj. lo lắng, băn khoăn
arrive;v. đến
ban;n. luật cấm
beside;prep. bên cạnh
bill;n. hóa đơn
blow;v. thổi
calculation;n. ‹sự/kết quả› tính, tính toán, ‹sự› dự tính, trù liệu
chase;n. sự đuổi theo, cuộc rượt đuổi
citizen;n. công dân
drink;n. thức uống
due;adj. bởi vì
head;n. đầu
hurry;n. Nhanh lên!
if;conj. nếu
illness;n. sự đau ốm, bệnh (thể chất, trí tuệ)
immoral;adj. trái đạo đức, xấu, không trung thực
interested;adj. Có quan tâm, thích thú
kind;adj. tử tế, ân cần
maintain;v. duy trì
money;n. tiền
nice;adj. vui, vui vẻ
ours;prop. của chúng tôi
palace;n. cung điện
peak;n. đỉnh cao, cao điểm
petrol;n. xăng dầu
powerful;adj. mạnh mẽ
reserve;n. sự dự trữ
shock;n. cú sốc, choáng
surprise;n. sự ngạc nhiên
amuse;v. khiến ai đó cười, thích thú
analyse;v. phân tích
annoy;v. làm bực mình, quấy rầy
attract;v. hấp dẫn, lôi cuốn, thu hút
author;n. tác giả
avoid;v. tránh, tránh khỏi, hủy bỏ, bác bỏ
blade;n. lưỡi (dao)
boyfriend;n. bạn trai
congratulation;n. sự chúc mừng
divorced;adj. li dị
educated;adj. được giáo dục theo kiểu nào, đã học ở trường nào
eighteen;cardinal no. số mười tám
enquiry;n. sự hỏi thêm thông tin, sự vấn tin
entry;n. hành động đi vào (nơi nào đó)
flight;n. chuyến bay
here;adv. ở đây
importance;n. tầm quan trọng
know;v. biết
loud;adj. to
mail;v. gửi thư
major;adj. rất lớn, quan trọng
might;modal verb. có thể
nine;cardinal no. số chín
phase;n. giai đoạn
politician;n. chính trị gia
position;n. vị trí
practise;v. luyện tập
preserve;v. gìn giữ, bảo tồn
prize;n. giải thưởng
recognize;v. nhận ra
accompany;v. đi cùng, hộ tống
aloud;adv. to (giọng)
among;prep. giữa, trong số (giữa từ ba người, 3 vật trở lên)
apparently;adv. hình như
brick;n. gạch
button;n. nút (áo quần)
celebrate;v. kỉ niệm
commission;n. tiền hoa hồng
copy;v. sao chép
develop;v. phát triển
else;adv. thứ gì khác
fair;adj. trắng (da), vàng nhạt (tóc)
guess;v. phỏng đoán
handle;v. xử lí, giải quyết
impressed;adj. cảm thấy ấn tượng
item;n. khoản, món, mục, mặt hàng
knitted;adj. được đan bằng len, sợi
lazy;adj. lười biếng
learn;v. học, nghiên cứu
master;n. chủ nhân
monitor;v. quan sát, theo dõi
profession;n. nghề nghiệp
protect;v. bảo vệ, bảo hộ, che chở
sample;n. mẫu, mẫu vật
since;adv. kể từ
slide;n. một trang trình chiếu trong bài trình chiếu trên máy tính
smooth;adj. hòa nhã, lễ độ
sure;adj. chắc chắn
sweat;n. mồ hôi
thief;n. tên trộm
annoyed;adj. khó chịu
brown;adj. nâu
concerning;prep. về, liên quan điều gì
confined;adj. (không gian) bị bó buộc (nghĩa bóng)
creature;n. sinh vật, tạo vật
daughter;n. con gái
former;adj. trước đây
gas;n. hơi, khí đốt thiên nhiên
heal;v. lành, chữa lành
highly;adv. rất
hip;n. hông
indicate;v. chỉ ra, cho biết điều gì
long;adj. dài
millionth;n. một phần một triệu
mirror;n. gương
miss;v. thấy nhớ (ai đó)
nature;n. thiên nhiên
neither;adv. thể hiện sự đồng tình với một câu nói phủ định
overall;adj. toàn bộ, toàn thể, tất cả, nói chung
passage;n. đoạn văn
pot;n. cái nồi
problem;n. vấn đề
quantity;n. lượng, số lượng
reply;v. trả lời, đáp lại 
research;v. sự nghiên cứu
response;n. sự trả lời, hồi đáp (lời, văn bản)
river;n. sông
selection;n. sự lựa chọn
several;determiner. vài
spoil;v. làm hỏng
actor;n. diễn viên nam
amazed;adj. rất ngạc nhiên
anger;n. sự tức giận
artist;n. nghệ sĩ
artistic;adj. (thuộc về) nghệ thuật
back;adv. quay lại
basically;adv. về cơ bản
break;n. giờ giải lao
cancel;v. hủy bỏ
cold;n. sự cảm lạnh
construct;v. xây dựng
drug;n. ma túy
elect;v. lựa chọn, bầu chọn
enter;v. đến, đi vào
estimate;v. ước lượng
flesh;n. thịt, xác thịt
hire;v. thuê, mướn, tiền trả công
inevitable;adj. không thể tránh được, chắc chắn xảy ra
interview;n. cuộc phỏng vấn
introduction;n. sự đưa vào sử dụng, đưa vào nơi nào đó
invest;v. đầu tư
lid;n. nắp
mayor;n. (ở Anh, Wales và Bắc Ireland) thị trưởng
nerve;n. dây thần kinh
opposed;adj. phản đối
period;n. tiết học
possibly;adv. có thể
reduction;n. sự giảm, thu nhỏ
reveal;v. tiết lộ
specific;adj. cụ thể, rõ ràng, rành mạch
acknowledge;v. thừa nhận, chấp nhận sự thật của cái gì
aggressive;adj. hay gây sự, hung hăng
analysis;n. sự phân tích, kết quả phân tích
appeal;n. sức hấp dẫn, lôi cuốn
back;adv. quay lại
backwards;adv. về phía sau
burst;v. (khiến cho cái gì) nổ, vỡ tung
certain;adj. chắc chắn
combination;n. sự kết hợp
current;adj. đang xảy ra, hiện nay
defence;n. sự bảo vệ
extraordinary;adj. lạ thường, khác thường
fun;adj. n. vui, cuộc vui
interest;n. sở thích
introduce;v. giới thiệu
its;poss. adj. của nó (dùng cho vật)...
low;adj. thấp
minority;n. thiểu số
opening;n. khe hở, lỗ hổng
plant;n. thực vật, cây
reaction;n. sự phản ứng
require;v. đòi hỏi, yêu cầu
rock;n. đá, hòn đá, tảng đá
score;v. ghi bàn (thể thao)
separated;adj. li thân
shadow;n. bóng, bóng tối, bóng mát
sour;adj. chua
sweater;n. áo len
tap;n. vòi nước
throughout;prep. . khắp nơi
award;v. thưởng, tặng
bake;v. nướng bằng lò
beach;n. bãi biển
because;prep. bởi vì
bent;adj. cong, gập
birthday;n. sinh nhật
can;n. hộp, lon
classroom;n. phòng học
equal;adj. bằng
executive;n. người điều hành (công ty, tổ chức,...)
fortune;n. may mắn, vận may
happily;adv. một cách vui vẻ, hạnh phúc
honour;n. danh tiếng, danh dự
involvement;n. sự tham gia
it;pron. nó
latest;n. thứ, tin tức gần đây nhất hoặc mới nhất
letter;n. lá thư
loss;n. sự mất mát
pain;n. sự đau đớn
potential;adj. tiềm năng, tiềm tàng
prayer;n. lời cầu nguyện
prisoner;n. tù nhân
quit;v. nghỉ, bỏ (học, làm việc...)
remaining;adj. còn lại
rent;v. thuê
screw;v. bắt vít, gắn chặt bằng vít
shut;v. đóng, gập lại, nhắm (mắt)
silly;adj. ngớ ngẩn, ngốc nghếch
state;v. phát biểu, nói rõ, tuyên bố
title;n. danh hiệu
addition;n. phép cộng
awfully;adv. rất, cực kì
brother;n. anh/em trai
circle;n. vòng tròn
competitive;adj. tính cạnh tranh, đua tranh
crowded;adj. đông đúc
delighted;adj. vui mừng, hài lòng, thích thú
discount;v. giảm, bớt, giảm giá, chiết khấu, khấu trừ
environmental;adj. (thuộc về) môi trường
express;adj. nhanh, hỏa tốc, tốc hành.
faith;n. sự tin tưởng, lòng tin
flood;n. trận lụt
fund;n. quỹ (tiết kiệm hoặc dùng cho một hoạt động cụ thể)
general;n. vị tướng, nhà chiến lược xuất sắc
mad;adj. điên rồ
myself;prop. chính tôi
occasionally;adv. thỉnh thoảng, đôi khi
perfect;adj. hoàn hảo, đầy đủ
piece;n. miếng, mảnh, mẫu
plot;n. cốt truyện, nội dung chính
poisonous;adj. độc hại
predict;v. dự báo, dự đoán trước
promotion;n. lăng xê
round;adj. tròn
sale;n. đợt bán hàng, giảm giá
service;n. dịch vụ
stare;v. nhìn chằm chằm
true;adj. đúng, thật
weekend;n. ngày cuối tuần
worth;adj. đáng, đáng giá, xứng đáng
amount;n. số lượng, khối lượng
be;auxiliary verb. thì, là, bị, được (đi với p.p (quá khứ phân từ) để tạo thành câu bị động)
behind;prep. ở đằng sau
brilliant;adj. hay, ấn tượng
case;n. trường hợp
company;n. công ty
consumer;n. người tiêu dùng
dancing;n. sự nhảy múa, khiêu vũ
delight;v. làm hài lòng
diagram;n. biểu đồ
dig;v. đào
dominate;v. trội hơn, chiếm ưu thế
entirely;adv. hoàn toàn
exaggerated;adj. được phóng đại, cường điệu lên
float;v. nổi, trôi, lơ lửng
focus;n. lấy nét, tâm điểm
guarantee;n. sự bảo đảm, bảo hành
holiday;n. ngày lễ
mess;n. sự bẩn thỉu, không gọn gàng
mix;n,v. hợp vào, trộn lẫn
moving;adj. cảm động
neck;n. cổ
on;prep. ở trên (có tiếp xúc bề mặt)
one another;prop. lẫn nhau
only;adv. chỉ
particular;adj. đặc biệt, đặc thù
payment;n. sự chi trả, thanh toán
permanent;adj. lâu dài, thường trực, cố định
planet;n. hành tinh
public;adj. công cộng, công
admit;v. thừa nhận, cho vào
bye;exclam. tạm biệt (thân mật)
chew;v. nhai
complicated;adj. phức tạp, rắc rối
confusion;n. sự bối rối, sự nhầm lẫn
deeply;adv. nhiều, rất nhiều (một cách "sâu sắc")
establish;v. thành lập, thiết lập
festival;n. đại hội, lễ hội, liên hoan
flat;adj. phẳng
grandparent;n. ông, bà
judge;v. phán xét, đánh giá
other;adj. khác
otherwise;adv. nếu không thì...
parent;n. cha, mẹ
pause;n. sự tạm nghỉ, ngưng
per;prep. mỗi
photograph;n. ảnh chụp, bức ảnh
presentation;n. bài trình bày
root;n. rễ cây
route;n. tuyến đường
sorry;adj. xin lỗi, tiếc
successful;adj. thành công
supporter;n. người ủng hộ (một đảng chính trị, một ý tưởng,...)
surrounding;adj. bao quanh, vây quanh
truly;adv. thực sự
uniform;n. đồng phục
united;adj. liên hợp, liên minh
unusually;adv. khác thường
vital;adj. thiết yếu, mang tính quyết định
waiter;n. phục vụ nam
accent;n. giọng (phát âm)
assistant;n. người giúp đỡ, người phụ tá
background;n. kiến thức, kinh nghiệm
blank;n. khoảng trống (trên mẫu văn bản, để điền thông tin)
coast;n. bờ biển
decay;v. thối rữa (thực phẩm), sâu, mục (răng, xương, lá...)
explosion;n. vụ nổ
father;n. bố, ba, cha,...
fork;n. nĩa
forty;no. bốn mươi
hope;n. hy vọng
impossible;adj. không thể
inform;v. báo tin cho, cho biết, cung cấp tin tức
many;adj. nhiều
minimum;n. mức tối thiểu
mount;n. ngọn núi, đỉnh núi
noticeable;adj. dễ nhận thấy, rõ ràng
organization;n. tổ chức (kinh doanh, tình nguyện,...)
pressure;n. sức ép, áp lực
pure;adj. tinh khiết, nguyên chất, thuần túy
security;n. an ninh, sự an toàn
senator;n. thượng nghị sĩ
serve;v. múc, xới, gắp ra để ăn
sexual;adj. liên quan đến tình dục
similar;adj. tương tự
spare;adj. thừa, dư
stamp;n. tem
store;n. cửa hàng
themselves;prop. chính họ
turn;v. rẽ, quẹo
Mr;abbreviation. (đứng trước họ, tên đầy đủ của một người đàn ông)
September;n. tháng Chín
almost;adv. hầu như
along;adv. tiến lên, về phía trước