nor;adv. và cũng không
occupied;adj. bận rộn
press;v. ấn, nhấn
surprised;adj. ngạc nhiên
tenth;ordinal no. thứ mười
vacation;n. kỳ nghỉ
way;n. cách thức, phương pháp
whenever;conj. bất cứ khi nào
wood;n. gỗ
wooden;adj. làm bằng gỗ
write;v. viết
zone;n. vùng, khu vực (có một đặc trưng nào đó)
CD;n. viết tắt của từ "compact disc" - đĩa CD
actually;adv. thực sự (hint: a..)
adult;n. người lớn, người đã trưởng thành
asleep;adj. ngủ, đang ngủ
coat;n. áo choàng
confused;adj. bối rối
continent;n. châu lục, lục địa
discipline;n. kỷ luật
dressed;adj. có mặc áo quần
explore;v. khảo sát, thăm dò, khám phá
firm;n. hãng, công ty
hers;prop. của cô (bà, chị,...) ấy
hungry;adj. đói bụng
interesting;adj. thú vị
knot;n. nút thắt
labour;n. công việc, nhất là công việc chân tay
least;adv. ít nhất
local;adj. mang tính địa phương
logic;n. cách suy nghĩ, giải thích điều gì
near;prep. gần
observe;v. quan sát, theo dõi
outline;n. đề cương, dàn bài
provided;conj. với điều kiện là, miễn sao là
relationship;n. mối quan hệ, mối liên hệ
routine;n. thói quen adj. theo thường lệ
row;n. hàng (ngang), hàng lối
shade;n. bóng râm
silence;n. sự im lặng, sự trầm lặng
accidental;adj. tình cờ
based;adj. được dựa trên
boil;v. đun sôi, luộc
carry;v. thực hiện
cease;v. dừng, ngừng
court;n. tòa án
dear;adj. thân, thân mến
edition;n. ấn bản, bản in
email;v. thư điện tử
exist;v. tồn tại, sống
forgive;v. tha thứ
house;n. ngôi nhà
invitation;n. lời mời
mention;v. nói đến, đề cập đếm, đề xuất
naked;adj. trần truồng
obey;v. tuân thủ
outside;adv. bên ngoài
penny;n. (đơn vị tiền tệ, đồng xu ở Anh, £1 = 100 pence)
pleasant;adj. dễ chịu
plus;prep. cộng thêm
salad;n. rau sống
sleep;n. sự, giấc ngủ
someone;pron. ai đó, người nào đó
tourist;n. khách du lịch
traveller;n. người lữ khách, người du hành, du khách
unnecessary;adj. không cần thiết
video;n. băng video, đầu máy video
warmth;n. sự ấm áp, hơi ấm
wound;n. vết thương
achievable;adj. có thể đạt được, thực hiện được
annually;adv. hàng năm, từng nằm, thường niên (yearly)
basis;n. nền tảng, cơ sở, căn cứ
bitterly;adv. một cách đau buồn, tức giận
freely;adv. một cách tự do
hollow;adj. lõm vào, trống rỗng
informal;adj. thân mật, không trang trọng
leaf;n. lá cây
mobile;adj. di động, lưu động
oil;n. dầu, dầu mỏ
owe;v. nợ, mắc nợ, mang ơn
ridiculous;adj. lố bịch, ngu ngốc, vô lí
school;n. trường học
singer;n. ca sĩ
south;adv. phía nam
strictly;adv. ‹một cách› nghiêm ngặt, nghiêm khắc
surroundings;n. môi trường xung quanh
target;n. mục tiêu, mục đích
tend;v. có xu hướng, có khuynh hướng, thường
text;n. văn bản, nội dung
tightly;adv. một cách chặt chẽ, sít sao
tin;n. thiếc
transparent;adj. trong suốt
truth;n. sự thật, chân lý
use;v. sử dụng, dùng
whistle;v. huýt sáo
wire;n. dây điện, dây kim loại
wool;n. len
I;pron. tôi, mình, tớ
June;n. tháng Sáu
aim;v. nhắm, mục đích, hướng tới
attack;v. tấn công
best;n. tốt nhất
briefly;adv. trong chốc lát
call;v. gọi, gọi điện thoại
cat;n. mèo, con mèo
earth;n. thế giới, trái đất
example;n. thí dụ
fit;v. hợp, vừa
fully;adv. hoàn toàn (hint: f...)
law;n. luật
lie;v. nằm, nằm nghỉ
passport;n. hộ chiếu
piano;n. đàn pi-a-nô
product;n. sản phẩm
reject;n. đồ thừa, đồ bỏ, phế phẩm
rented;adj. được thuê
reply;v. trả lời, đáp lại 
site;n. địa điểm
suit;v. phù hợp với, thích hợp với
time;n. thời gian
tree;n. cây
well;n. cái giếng
wounded;adj. bị thương
ago;adv. trước đây, trước (thì quá khứ đơn)
alcoholic;n. kẻ nghiện rượu
anti;prefix. ngược lại, chống lại
attention;n. sự chú ý
coach;n. xe buýt chạy đường dài
coin;n. tiền xu
concert;n. buổi hòa nhạc, buổi biểu diễn (ca nhạc)
damp;adj. ẩm ướt
define;v. định rõ, vạch rõ
detailed;adj. rất chi tiết
failure;n. trượt, thất bại 
flower;n. hoa, bông hoa
hairdresser;n. thợ cắt tóc
home;n. nhà,gia đình
ice cream;n. kem lạnh
install;v. lắp đặt, cài đặt
interior;adj. thuộc về phần bên trong
main;adj. chính yếu, chủ đạo
mathematics;n. toán học
nephew;n. cháu trai
parallel;adj. song song
reasonable;adj. hợp lý
relative;n. họ hàng
road;n. con đường
round;adj. tròn
self;combining form. tự mình
spell;v. đánh vần
spray;v. phun ra
stand;v. đứng, chân chống
straight;adj. tóc thẳng
atmosphere;n. khí quyển
attempted;adj. đã cố gắng làm mà không thành
complex;adj. phức tạp, khó hiểu
conduct;v. tiến hành, cư xử
cover;v. che, phủ, trùm, bọc, bao gồm
double;v. gấp đôi
ending;n. phần kết (câu chuyện, phim...)
garbage;n. rác
govern;v. cai trị, cầm quyền
including;prep. kể cả
independence;n. sự độc lập
lake;n. hồ
lunch;n. bữa trưa
mate;n. bạn bè
me;prop. tôi (tân ngữ, đứng sau động từ, giới từ, động từ "be")
painter;n. thợ sơn
philosophy;n. triết học
praise;v. khen ngợi, tuyên dương
retire;v. nghỉ hưu
retired;adj. nghỉ hưu
scare;v. làm kinh hãi, làm sợ hãi, doạ
sincerely;adv. một cách chân thành
six;cardinal no. số sáu
skilled;adj. lành nghề, có khả năng, kinh nghiệm và kiến thức làm gì
status;n. địa vị (về mặt pháp lí)
striped;adj. có sọc, có vằn
this;det. đây, này
tidy;v. dọn dẹp
aware;adj. biết, nhận thức
city;n. thành phố
on behalf of;adv. thay mặt cho 
coloured;adj. có màu gì, có nhiều màu khác nhau
consequence;n. kết quả, hậu quả, hệ quả, tầm quan trọng, tính trọng đại
countryside;n. nông thôn
current;adj. đang xảy ra, hiện nay
delivery;n. sự giao hàng, sự phân phối
desk;n. bàn làm việc
device;n. thiết bị
dirty;adj. bẩn, bẩn thỉu, dơ bẩn
embarrassing;adj. ngượng ngùng, lúng túng
entitle;v. cho phép làm cái gì
faithful;adj. trung thành, chung thủy
fourth;ordinal no. thứ tư
kid;n. con dê con, đứa trẻ
necessary;adj. cần thiết, quan trọng
northern;adj. ở phía bắc
prevent;v. ngăn ngừa, phòng ngừa
printer;n. máy in
propose;v. đề xuất, đưa ra, kiến nghị
purchase;n. việc mua bán
rain;n. mưa
recommend;v. giới thiệu, tiến cử
standard;n. tiêu chuẩn, trình độ
station;n. nhà ga, bến xe
theory;n. lý thuyết
unfortunate;adj. không may
advertisement;n. quảng cáo
basic;adj. nền tảng, cơ sở
bed;n. giường
below;adv. dưới
coughing;n. ho
demonstrate;v. bày tỏ, biểu lộ, cho thấy, chứng minh, giải thích
destruction;n. sự tàn phá
disadvantage;n. bất lợi
each other;prop. lẫn nhau (sử dụng như là tân ngữ)
electric;adj. (thuộc về) điện
essential;adj. thiết yếu, cốt yếu, cơ bản
experience;n. kinh nghiệm
grab;v. nắm, chộp, túm lấy
hall;n. sảnh
hence;adv. vì vậy, sau đây
huge;adj. to lớn, rộng lớn
humorous;adj. hài hước, khôi hài
infect;v. lây bệnh cho người, động vật, cây cối
knitting;n. đồ đan len
mainly;adv. chủ yếu, dùng để nói về nguyên nhân quan trọng nhất
marry;v. cưới, kết hôn
notice;v. lưu ý, lưu tâm
nut;n. đậu phộng
pan;n. cái xoong, chảo
pilot;n. phi công
programme;v. lên chương trình, lên kế hoạch
quiet;adj. yên lặng, yên tĩnh, êm ả
religion;n. tôn giáo
Monday;n. thứ Hai
advise;v. khuyên
argue;v. tranh cãi
associate;n. cộng tác, đồng sự
assume;v. đảm đương, gánh vác
awake;adj. tỉnh, thức, không ngủ
breathe;v. thở
budget;n. ngân sách, ngân quỹ
chat;v. tán gẫu
confuse;v. làm ai rối rắm
crisp;adj. cứng và khô vừa phải, giòn
dress;n. đầm, váy dài
educate;v. giáo dục, dạy
household;n. hộ gia đình
immediately;adv. ngay lập tức
industrial;adj. thuộc về công nghiệp
laugh;n. tiếng cười (cười lớn)
oh;exclamation. Ồ (thể hiện sự ngạc nhiên)
openly;adv. một cách cởi mở, công khai
persuade;v. thuyết phục
proud;adj. tự hào
ready;adj. sẵn sàng
return;n. tiền lãi, tiền lời
rope;n. dây thừng
sailing;n. sự đi thuyền, đua thuyền&nbsp, (thuyền có buồm)
singing;n. sự ca hát, hót
slice;v. xắt mỏng
trousers;n. quần dài
April;n. tháng Tư
August;n. tháng Tám
adapt;v. thích nghi (với môi trường...)
adopt;v. chọn, áp dụng, chấp nhận và làm theo
army;n. quân đội
arrange;v. sắp xếp, sắp đặt, thu xếp
barrier;n. rào cản, chướng ngại vật
collapse;v. sụp đổ, hỏng
customs;n. hải quan
direct;v. làm đạo diễn (phim, kịch..)
draft;n. bản nháp
emotion;n. tình cảm, cảm xúc
etc.;abbreviation. vân vân, và còn nhiều nữa (từ viết tắt của "et cetera")
extensive;adj. lớn, rộng lớn
favour;n. điều bạn làm giúp đỡ người khác, ơn, ân huệ
financial;adj. (thuộc) tài chính
hardly;adv. hầu như không
hide;v. giấu
income;n. thu nhập
leather;n. chất da
manufacturing;n. công nghiệp, ngành sản xuất hàng hóa
ninth;ordinal no. thứ chín
pocket;n. túi, bọc
polite;adj. lịch sự
region;n. vùng/miền
resistance;n. sức đề kháng, sức bền
swollen;adj. sưng tấy
thinking;n. sự suy nghĩ
arrival;n. sự đến, sự tới nơi
bandage;n. băng y tế
beauty;n. sắc đẹp
cycle;v. đi xe đạp
devote something to something;v. dành thời gian, sự chú ý,... để làm việc gì đó
eat;v. ăn
evidence;n. bằng chứng
fuel;n. chất đốt, nhiên liệu
guest;n. khách khứa, khách mời
hair;n. tóc, mái tóc
launch;v. phát động, khởi động
passenger;n. hành khách
production;n. (sự) sản xuất
slight;adj. rất ít, nhỏ
tear;n. nước mắt, lệ
third;ordinal no. thứ ba
thousandth;n. một phần nghìn
trading;n. (hoạt động) thương mại, buôn bán
trick;n. trò khéo léo, mẹo, kĩ xảo
typical;adj. điển hình, tiêu biểu
upstairs;adv. ở trên gác, ở tầng trên, lên cầu thang
upward;adj. hướng lên
victory;n. chiến thắng
visit;v. thăm, viếng
walking;n. sự đi bộ thư giãn
warn;v. cảnh báo
wealth;n. sự giàu có
where;adv. đâu, ở đâu
yesterday;adv. ngày hôm qua
amused;adj. thích thú
apple;n. táo
awful;adj. tồi tệ, kinh khủng
buy;v. mua
construction;n. ngành xây dựng
controlled;adj. được thực hiện, sắp xếp một cách cẩn thận, có kiểm soát
cruel;adj. độc ác, tàn nhẫn
deny;v. chối, phủ nhận
divide;v. chia ra, chia
gift;n. quà
grant;n. chấp thuận
half;n. một nửa, phân nửa
have to;modal verb. phải làm gì
heel;n. gót chân
hope;n. hy vọng
inside;adv. bên trong
kindly;adv. một cách tử tế, tốt bụng
king;n. vua
language;n. ngôn ngữ
marriage;n. hôn nhân
movie;n. phim, điện ảnh
museum;n. viện bảo tàng
partnership;n. mối quan hệ cộng tác (trong kinh doanh)
quickly;adv. nhanh
set;n. bộ
shake;v. rung, lắc
she;pron. Cô ấy, bà ấy,bạn ấy,...(dùng cho nữ giới)
appropriate;adj. thích hợp, thích đáng
century;n. thế kỷ
closet;n. buồng nhỏ, buồng riêng, phòng để đồ
decision;n. quyết định
dream;n. mơ
have;v. có
improve;v. tốt lên
leader;n. (người) lãnh đạo
muscle;n. bắp thịt
mystery;n. điều huyền bí, bí ẩn
punishment;n. hình phạt
quality;n. chất lượng, phẩm chất
repeated;adj. lặp đi lặp lại
runner;n. người, động vật chạy (đặc biệt trong một cuộc đua)
signature;n. chữ ký, ký hiệu, dấu hiệu
similarly;adv. tương tự, gần giống nhau
sixteen;cardinal no. số mười sáu
skin;n. da, làn da
sorry;adj. xin lỗi, tiếc
sting;n. vết đốt (của ong ...)
sudden;adj. bất ngờ, đột ngột
suddenly;adv. đột ngột
transport;n. sự chuyển chở, vận tải
unacceptable;adj. không thể chấp nhận, cho phép được
widely;adv. trên phạm vi rộng lớn, rộng rãi
within;prep. trong vòng
worker;n. người lao động
working;adj. lao động
year;n. năm
yours;prop. của bạn
Internet;n. mạng Internet
argument;n. sự tranh cãi, sự tranh luận
blow;v. thổi
central;adj. quan trọng nhất
concentration;n. khả năng tập trung
direction;n. phương hướng, sự hướng dẫn, chỉ dẫn
environment;n. môi trường
exciting;adj. thú vị, hứng thú
expand;v. mở rộng, phát triển
far;adv. xa
goal;n. mục đích, mục tiêu
impressive;adj. gây ấn tượng
influence;v. ảnh hưởng, tác động
lesson;n. bài học, bài giảng
lovely;adj. xinh đẹp, đáng yêu
matter;n. chủ đề, vấn đề, việc, chuyện
music;n. âm nhạc
news;n. tin tức
officially;adv. chính thức
or;conj. hoặc
removal;n. sự dời đi, dọn đi
senate;n. thượng nghị viện (của quốc hội lập pháp ở Mỹ, Úc, Canada...)
slowly;adv. chậm
speech;n. bài diễn văn, diễn thuyết
thank you;v. cảm ơn bạn
various;adj. nhiều...khác nhau
winning;adj. chiến thắng (cuộc đua, cuộc thi)
bad-tempered;adj. nóng giận, nóng tính
bite;n. vết cắn, miếng
communicate;v. giao tiếp
congress;n. đại hội, hội nghị
contribute;v. đóng góp
curved;adj. (có dạng) cong
definition;n. định nghĩa
edge;n. mé, bìa, rìa
entertaining;adj. mang tính giải trí
final;n. trận, vòng chung kết
give;v. đưa, trao, cho
habit;n. thói quen
important;adj. quan trọng, trọng đại
less;adv. ít hơn
marketing;n. ngành tiếp thị
pants;n. quần
peaceful;adj. yên bình, thanh bình
pray;v. cầu nguyện
printing;n. hoạt động in ấn
promise;v. hứa hẹn
qualify;v. đủ tư cách, khả năng, điều kiện
register;v. đăng ký
remark;n. lời nhận xét, ý kiến
same;adv. cũng như vậy
see;v. nhìn
smoothly;adv. một cách trôi chảy
spice;n. gia vị
arrest;v. bắt giữ (bởi cảnh sát)
downwards;adv. hướng xuống, xuống dưới
effectively;adv. hiệu quả
exact;adj. chính xác, đúng dắn
flour;n. bột mì
guide;n. hướng dẫn viên, sách hướng dẫn
infected;adj. nhiễm trùng
menu;n. thực đơn
merely;adv. chỉ, đơn giản là (dùng để nhân mạnh)
mistake;n. lỗi, sai, nhầm
navy;n. hải quân
old;adj. già
paper;n. giấy
plate;n. cái đĩa
push;v. đẩy
scissors;n. cái kéo
sell;v. bán
silk;n. lụa
swear;v. thề, chửi thề
tension;n. sự căng thẳng, tình trạng căng thẳng
unless;conj. trừ phi
upsetting;adj. không vui, bực mình
watch;v. xem
weak;adj. yếu, yếu ớt
wildly;adv. loạn xạ, không thể kiểm soát được
wish;n. mong muốn
acquire;v. đạt được, thu được
another;pron. một...khác
available;adj. có sẵn, sẵn sàng
bedroom;n. phòng ngủ
cake;n. bánh ngọt
chip;n. chỗ sứt, mẻ
choose;v. chọn, chọn lựa
contest;n. cuộc thi, tranh giành
dish;n. món ăn
driving;n. cách, sự lái xe
drum;n. trống
ear;n. tai
economy;n. nền kinh tế
estate;n. vùng đất (ở nôngthôn) có người làm chủ, điền trang
global;adj. toàn cầu
hit;n. cú đánh
joy;n. niềm vui, sự vui mừng
kill;v. giết chết
lack;v. thiếu
link;n. liên kết, chỗ nối
logical;adj. có lô-gic, hợp lý
medical;adj. thuộc y học
noise;n. tiếng ồn
non-;prefix. không
photograph;n. ảnh chụp, bức ảnh
prepare;v. chuẩn bị
primarily;adv. trước hết, đầu tiên, chính, chủ yếu, quan trọng nhất
provide;v. cung cấp
receive;v. nhận
accuse;v. buộc tội, tố cáo
activity;n. hoạt động
alcohol;n. chất có cồn, rượu
approximate;adj. xấp xỉ, gần đúng
brush;n. lược to tròn, bàn chải tóc
experienced;adj. có kinh nghiệm
fail;v. thất bại
fence;n. hàng rào, rào chắn (bằng gỗ, kim loại)
glad;adj. vui
grandson;n. cháu trai (nội, ngoại)
guard;n. người bảo vệ (binh lính, cảnh sát, cai ngục,...)
guilty;adj. cảm thấy xấu hổ vì đã làm điều gì xấu, hoặc vì đã không làm một việc mà đáng lẽ phải làm
kick;v. đá
morally;adv. một cách có đạo đức
negative;adj. tiêu cực, có hại
offensive;adj. xúc phạm, công kích
official;n. quan chức, công chức
path;n. đường mòn, đường dẫn
perfectly;adv. hoàn hảo
regard;n. sự chú ý, quan tâm
shoot;v. bắn (súng,...)
steer;v. lái (tàu thuỷ, ô tô..)
stove;n. lò, bếp lò
suggestion;n. lời đề nghị, sự gợi ý
telephone;n. điện thoại
winner;n. người thắng cuộc
worship;v. thờ phụng, tôn thờ
area;n. khu vực
carrot;n. cà rốt
chemistry;n. môn hóa học
comfortably;adv. một cách thoải mái
commercial;adj. (thuộc) buôn bán, thương mại
dull;adj. chán, buồn tẻ
extension;n. sự mở rộng (hoạt động, nhóm người...)
harmful;adj. có hại
investment;n. sự đầu tư
nineteen;cardinal no. số mười chín
per cent;adj. phần trăm
prepared;adj. sẵn sàng làm gì
producer;n. nhà, người, nước sản xuất
profit;n. lợi nhuận
pupil;n. học sinh
rescue;n. sự cứu, giải cứu
restrict;v. giới hạn, hạn chế
roll;v. lăn
scientist;n. nhà khoa học
stock;v,. trữ hàng
surprise;n. sự ngạc nhiên
teach;v. dạy, dạy học
uncomfortable;adj. không thoải mái
up;prep. lên trên, ở trên
width;n. chiều, độ rộng
written;adj. được viết thành văn bản
yard;n. cái sân
March;n. tháng Ba
blonde;n. người phụ nữ tóc vàng nhạt
column;n. cột (thường làm bằng đá, ở các tòa nhà)
community;n. cộng đồng
consult;v. tham khảo, hỏi ý kiến, quan tâm
crush;n.  sự phải lòng, sự mê
definitely;adv. chắc chắn, nhất định
disgusted;adj. cảm thấy ghê tởm
distance;n. khoảng cách
excellent;adj. xuất sắc, ưu tú
fourteen;cardinal no. số mười bốn
frightened;adj. lo sợ
grateful;adj. biết ơn
horn;n. sừng
initial;adj. ban đầu, đầu
lose;v. làm mất, thất lạc, không thể tìm thấy
market;n. thị trường, chợ, nơi mua bán sản phẩm...
missing;adj. thiếu, khuyết, thất lạc
mood;n. tâm trạng
need;v. cần
opposition;n. sự phản đối
ought to;modal verb. nên làm gì
pill;n. viên thuốc
post office;n. bưu điện
private;adj. (thuộc về, dùng cho) cá nhân hoặc nhóm người nào đó, không dùng cho mục đích công cộng
proposal;n. bản, lời đề nghị, đề xuất
realistic;adj. hiện thực, thực tế
rear;adj. ở đằng sau, phía sau
remain;v. duy trì, vẫn còn
Ms;abbreviation. (đứng trước họ, tên đầy đủ của một người phụ nữ, không đề cập đến việc đã có gia đình hay chưa)
accommodation;n. chỗ ăn ở
both;prop. cả hai
brief;adj. kéo dài trong một thời gian ngắn, ngắn
care;n. sự chăm sóc, sự cẩn thận
contract;n. hợp đồng
disappointing;adj. không tốt, thành công như mong đợi, gây thất vọng
drop;n. giọt
dust;n. bụi
duty;n. bổn phận, nhiệm vụ
examination;n. kỳ thi
explain;v. giải thích
extreme;adj. rất lớn (về mức độ)
formal;adj. trang trọng, nghi thức
glass;n. thủy tinh
import;v. nhập khẩu
interview;n. cuộc phỏng vấn
kindness;n. sự tử tế, tốt bụng
outstanding;adj. còn tồn tại, chưa giải quyết xong, chưa trả nợ
patience;n. tính kiên nhẫn, tính nhẫn nại
permission;n. sự cho phép, sự chấp nhận
plastic;n. nhựa
roughly;adv. khoảng chừng
slip;v. trượt chân
study;v. học
technology;n. công nghệ
temperature;n. nhiệt độ, sốt
west;n. phía Tây
work;v. làm việc
about;adv. khoảng, tầm
attend;v. tham dự, có mặt
billion;number. tỉ
bin;n. thùng rác
bottom;adj. ở dưới đáy, cuối cùng, xa nhất (nơi, vị trí)
businessman;n. doanh nhân, thương gia
capacity;n. sức chứa, dung tích
chairman;n. người điều khiển một cuộc họp, chủ toạ
chin;n. cằm
communication;n. sự liên lạc, sự giao tiếp
correct;v. sửa, điều chỉnh
favourite;adj. ưa thích
goodbye;n. Tạm biệt
handle;v. xử lí, giải quyết
infectious;adj. dễ lây, lan truyền
initiative;n. bước khởi đầu, sự khởi xướng
intelligent;adj. thông minh
interpret;v. giải thích, làm sáng tỏ
lover;n. người yêu
midday;n. trưa, buổi trưa (12 giờ trưa)
rate;n. mức giá, tỉ lệ
recover;v. hồi phục
reputation;n. danh tiếng, thanh danh, tiếng (tốt của nhân vật)
sea;n. biển
single;n. đĩa đơn
skilful;adj. tài năng, tài giỏi
sock;n. (chiếc) tất
steady;adj. đều đặn, ổn định
February;n. tháng 2
adjust;v. điều chỉnh
anything;n. vật gì, thứ gì, cái gì
bid;n. lời đề nghị ra giá để mua cái gì
bit;n. hơi
chairwoman;n. nữ chủ tịch, nữ chủ tọa trong cuộc họp
crown;n. vương miện
customer;n. khách hàng (người mua hàng hóa hoặc dịch vụ)
escape;v. trốn thoát
expense;n. chi phí
finely;adv. thành những hạt, miếng nhỏ
grass;n. cỏ
guarantee;n. sự bảo đảm, bảo hành
immediate;adj. tức thì, trước mắt
lane;n. làn đường
means;n. phương tiện
of;prep. của ai
party;n. đảng, phái, nhóm
pretend;v. giả vờ
purely;adv. hoàn toàn, chỉ là
quick;adj. nhanh chóng
recall;v. nhớ lại
rival;n. đối thủ
specialist;n. chuyên gia
stiff;adj. cứng (không dễ uốn, gấp)
tower;n. tháp
beef;n. thịt bò
big;adj. to, lớn
blood;n. máu
breath;n. hơi thở
centimetre;n. cen-ti-mét (đơn vị đo độ dài, 1 mét = 100 cen-ti-mét)
departure;n. sự khởi hành
document;n. văn bản
exit;n. lối ra
geography;n. môn điạ lý
grain;n. hạt (của cây lương thực)
ink;n. mực
lorry;n. xe tải
newspaper;n. nhật báo
offend;v. làm ai phật ý, buồn lòng
ordinary;adj. bình thường, thông thường
out;adv. ra khỏi
part;n. phần, bộ phận
physically;adv. về thân thể, thể chất 
popular;adj. nổi tiếng, phổ biến
rail;n. tay vịn, lan can, chấn song
rude;adj. thô lỗ, lỗ mãng
select;v. chọn lựa, chọn lọc
shopping;n. mua sắm
spelling;n. sự đánh vần, viết chính tả
statue;n. tượng
strategy;n. chiến lược, sự vạch kế hoạch hành động
suppose;v. tin rằng, cho là
ancient;adj. xưa, cổ xưa
arrangement;n. sự sắp xếp
attorney;n. luật sư
brand;n. nhãn hiệu, nhãn hàng, chi nhánh
chance;n. cơ hội
commitment;n. sự tận tâm
contact;v. tiếp xúc, liên hệ
development;n. sự phát triển
diet;n. ăn kiêng, chế độ ăn uống
generous;adj. rộng rãi, hào phóng
individual;adj. cá nhân, riêng biệt
just;adv. đúng, chính xác, vừa đúng
map;n. bản đồ
millimetre;n. (đơn vị đo độ dài, 1, 1000 của mét)
mom;n. mẹ
mouth;n. miệng
picture;n. bức tranh
presence;n. sự hiện diện, có mặt
quote;v. trích dẫn
regret;n. sự hối tiếc
satisfied;adj. thỏa mãn
sink;n. bồn rửa
strangely;adv. một cách kì lạ
suspicious;adj. đầy nghi ngờ
thirsty;adj. khát
toe;n. ngón chân
vehicle;n. phương tiện giao thông
wide;adj. rộng
November;n. tháng Mười Một
October;n. tháng Mười
