abroad;adv. (ở) nước ngoài
advertise;v. quảng cáo, đăng tin (tuyển dụng...)
alive;adj. sống, còn sống
allow;v. cho phép, chấp nhận
amateur;n. nghiệp dư
argue;v. tranh cãi
arrange;v. sắp xếp, sắp đặt, thu xếp
article;n. bài báo
attach;v. đính kèm, kèm theo
attack;v. tấn công
attract;v. hấp dẫn, lôi cuốn, thu hút
award;v. thưởng, tặng
aware;adj. biết, nhận thức
balance;v. quyết toán
beauty;n. sắc đẹp
behave;v. ứng xử
behaviour;n. thái độ, hành vi, cách cư xử, cách đối xử, cách ăn ở
benefit;n. lợi ích
blame;v. than trách, đổ lỗi
break;n. giờ giải lao
brief;adj. kéo dài trong một thời gian ngắn, ngắn
broad;adj. to, rộng
bury;v. chôn cất, mai táng
campaign;n. chiến dịch
capital;n. thủ đô
careless;adj. bất cẩn
category;n. loại, hạng
cause;v. gây ra
certificate;n. giấy chứng nhận, chứng chỉ
charge;v. tính phí
charity;n. hội từ thiện, việc từ thiện
cheerful;adj. vui vẻ, vui tươi
claim;v. đòi, đòi quyền, nhận là, tự cho là
clap;v. vỗ, vỗ tay
close;v. đóng lại
colleague;n. đồng nghiệp
comfortable;adj. thoải mái
competition;n. cuộc thi
concentrate;v. tập trung
confident;adj. tự tin, tin tưởng
congratulation;n. sự chúc mừng
contract;n. hợp đồng
convenient;adj. thuận tiện
conversation;n. cuộc hội thoại
cooperate;v. hợp tác
corporation;n. tập đoàn, công ty lớn
correct;v. sửa, điều chỉnh
costume;n. trang phục, y phục
crowd;n. đám đông
cruel;adj. độc ác, tàn nhẫn
debt;n. nợ, món nợ
decorate;v. trang trí
definition;n. định nghĩa
delay;v. trì hoãn, hoãn lại
demand;n. nhu cầu
describe;v. miêu tả
despite;prep. mặc dù
detail;v. chi tiết, tỉ mỉ
develop;v. phát triển (hint :d...)
device;n. thiết bị (hint :d...)
disadvantage;n. bất lợi
discipline;n. kỷ luật
discover;v. khám phá
display;v. hiển thị, trình bày 
divide;v. chia ra, chia
drag;v. kéo lê
earn;v. kiếm được (tiền...)
edit;v. sửa chữa, biên tập, hiệu chỉnh
emotion;n. tình cảm, cảm xúc
enemy;n. kẻ thù, kẻ địch
enjoyable;adj. thích thú, thú vị
ensure;v. bảo đảm
equipment;n. thiết bị (hint :e...)
exact;adj. chính xác, đúng dắn
examine;v. Khảo sát, nghiên cứu
exist;v. tồn tại, sống
experience;n. kinh nghiệm
explode;v. nổ, làm nổ
export;v. xuất khẩu
extract;v. chiết xuất, lấy
failure;n. trượt, thất bại 
favourite;adj. ưa thích
fine;adj. mạnh, khỏe, tốt
finish;v. hoàn thành, kết thúc
focus;n. lấy nét, tâm điểm
fond;adj. yêu mến, thích
formal;adj. trang trọng, nghi thức
formula;n. công thức
freeze;v. (làm) đóng băng, đông lại
frequently;adv. thường xuyên, một cách thường xuyên
function;n. chức năng, nhiệm vụ
furniture;n. đồ đạc trong nhà
gather;v. tập hợp, tụ thập, thu thập, kết luận, suy ra
generation;n. thế hệ
generous;adj. rộng rãi, hào phóng
gentle;adj. nhẹ nhàng, dịu êm
hardly;adv. hầu như không
heal;v. lành, chữa lành
hit;n. cú đánh
hurt;v. làm bị thương, làm đau
import;v. nhập khẩu
increase;v. tăng
inform;v. báo tin cho, cho biết, cung cấp tin tức
informal;adj. thân mật, không trang trọng
intend;v. có ý định, có mục đích
kidnap;v. bắt cóc (thường để tống tiền)
knock;v. gõ (cửa)
label;n. dán nhãn, ghi nhãn
lecture;n. bài nói chuyện về một đề tài nào đó, bài giảng, bài thuyết trình
link;n. liên kết, chỗ nối
long-term;adj. dài hạn, dài ngày, lâu dài
lower;v. giảm, hạ
manufacturer;n. nhà sản xuất
market;n. thị trường, chợ, nơi mua bán sản phẩm...
material;n. vật liệu, chất liệu
matter;n. chủ đề, vấn đề, việc, chuyện
maximize;v. tối đa hóa, mở rộng cực đại
melt;v. tan chảy
mind;v. phiền, bực mình, lo lắng
mistake;n. lỗi, sai, nhầm
modernize;v. hiện đại hoá, đổi mới
mostly;adv. chủ yếu, hầu hết
narrow;v. thu hẹp, co lại
notice;v. lưu ý, lưu tâm
opinion;n. ý kiến, quan điểm
opportunity;n. cơ hội, thời cơ
organize;v. tổ chức
original;n. nguyên thủy
overseas;adj. ở nước ngoài
participate;v. tham gia
perform;v. biểu diễn, trình diễn
physical;n. khám sức khỏe
plus;prep. cộng thêm
point;v. chỉ ra điều gì
polite;adj. lịch sự
pollution;n. sự ô nhiễm
predict;v. dự báo, dự đoán trước
pretend;v. giả vờ
prevent;v. ngăn ngừa, phòng ngừa
professional;adj. chuyên nghiệp
promise;v. hứa hẹn
pronunciation;n. cách phát âm, sự phát âm
proud;adj. tự hào
publish;v. xuất bản
quality;n. chất lượng, phẩm chất
random;adj. ngẫu nhiên
rapid;adj. nhanh (trịnh trọng)
rarely;adv. hiếm khi, ít khi
rate;n. mức giá, tỉ lệ
recognize;v. nhận ra
recyclable;adj. có thể tái chế được
religion;n. tôn giáo
restore;v. hồi phục, khôi phục lại
reward;n. tiền thưởng, vật thưởng (làm việc chăm chỉ...)
rhythm;n. giai điệu, nhịp điệu
romantic;adj. Lãng mạn
rough;adj. gồ ghề, nhám, xù xì, lởm chởm
rumour;n. lời đồn, tin đồn
save;v. tiết kiệm, cứu
scandal;n. vụ bê bối, vụ tai tiếng
scientific;adj. (thuộc về) khoa học
section;n. bộ phận, phòng, ban
session;n. kỳ họp, buổi họp
shadow;n. bóng, bóng tối, bóng mát
share;n. một phần (được phân chia giữa 2 hay nhiều người)
sharp;adj.  thông minh, láu lỉnh
shortage;n. sự thiếu hụt
shy;adj. bẽn lẽn, hay xấu hổ, nhút nhát
single;n. đĩa đơn
situation;n. tình hình, vị thế
snow;n. tuyết
solution;n. giải pháp, lời giải
soul;n. linh hồn
speed;n. tốc độ
state;v. phát biểu, nói rõ, tuyên bố
stock;v. trữ hàng
strict;adj. nghiêm ngặt
sudden;adj. bất ngờ, đột ngột
suffer;v. bị, chịu, chịu đựng, khổ sở vì
suggest;v. góp ý, gợi ý
suitable;adj. phù hợp
support;v. ủng hộ, hỗ trợ
surprising;adj. đáng ngạc nhiên
symptom;n. triệu chứng, dấu hiệu
temperature;n. nhiệt độ, sốt
thought;n. đã nghĩ
tradition;n. truyền thống
transportation;n. giao thông
unemployed;adj. thất nghiệp
unfortunately;adv. thật không may
urban;adj. thuộc đô thị
valuable;adj. quý giá
warn;v. cảnh báo
weakness;n. điểm yếu, nhược điểm, khuyết điểm
wealthy;adj. giàu có
whisper;n. lời, sự thì thầm
worry;v. lo lắng
wound;n. vết thương
wrap;v. gói
ability;n. năng lực, khả năng, tài năng
absolutely;adv. hoàn toàn
absorb;v. hút, hấp thu
access;n. quyền truy cập, sự tiếp cận 
accommodation;n. chỗ ăn ở
accurate;adj. chính xác (hint :a...)
accuse;v. buộc tội, tố cáo
acknowledge;v. thừa nhận, chấp nhận sự thật của cái gì
adapt;v. thích nghi (với môi trường...)
adjust;v. điều chỉnh
administration;n. việc, sự quản trị, điều hành
admire;v. ngưỡng mộ
admission;n. nhận, kết nạp
admit;v. thừa nhận, cho vào
adolescent;n. thanh niên
advance;n. sự xảy ra trước
advantage;n. lợi thế, thuận lợi
adventure;n. cuộc phiêu lưu
affect;v. ảnh hưởng
alone;adj, adv. một mình
altogether;adv. tổng cộng, tính gộp lại
amaze;v. làm kinh ngạc, sửng sốt
amuse;v. khiến ai đó cười, thích thú
anniversary;n. ngày/lễ kỷ niệm
announce;v. thông báo
annoy;v. làm bực mình, quấy rầy
annual;adj. hàng năm
anxious;adj. lo lắng, băn khoăn
appear;v. xuất hiện
appearance;n. diện mạo, vẻ bề ngoài
application;n. sự xin việc, ứng tuyển
approve;v. chấp thuận
arrest;v. bắt giữ (bởi cảnh sát)
ashamed;adj. xấu hổ, hổ thẹn
aspect;n. khía cạnh
association;n. hội, hiệp hội
atmosphere;n. không khí
attention;n. sự chú ý
available;adj. có sẵn, sẵn sàng
besides;adv. ngoài ra, hơn nữa
budget;n. ngân sách, ngân quỹ
candidate;n. ứng cử viên, thí sinh, người dự tuyển
casual;adj. bình thường, thường ngày
ceremony;n. nghi lễ
certain;adj. chắc chắn
challenge;n. thử thách
comfort;n. sự thư thái, thoải mái
common;n. sự chung, của chung
comprise;v. bao gồm
concept;n. khái niệm
conduct;v. tiến hành, cư xử
consequence;n. kết quả, hậu quả, hệ quả, tầm quan trọng, tính trọng đại
consider;v. xem như
constant;adj. không dứt, liên tục
construct;v. xây dựng
content;adj. bằng lòng, hài lòng
context;n. ngữ cảnh, hoàn cảnh
convert;v. chuyển đổi
convince;v. Thuyết phục
courage;n. lòng dũng cảm, can đảm
crash;v. va chạm, đâm sầm
creative;adj. sáng tạo
creature;n. sinh vật, tạo vật
criminal;n. phạm tội/tội phạm
crisis;n. khủng hoảng
criticize;v. phê bình, chỉ trích
curious;adj. tò mò, thích tìm&nbsp, hiểu
custom;n. phong tục
dare;v. Dám, dám đương đầu với
debate;v. thảo luận, tranh luận
declare;v. tuyên bố, công bố
defeat;v. đánh bại, vượt qua
defend;v. phòng thủ
deforestation;n. sự tàn phá rừng, hiện tượng rừng bị tàn phá
delighted;adj. vui mừng, hài lòng, thích thú
detect;v. tìm ra, khám phá ra, nhận thấy
disappoint;v. làm thất vọng
disaster;n. thảm họa, tai họa
dismiss;v. sa thải
distribute;v. phân phối
diversity;n. sự khác biệt, đa dạng
domestic;adj. nội địa
dull;adj. chán, buồn tẻ
duration;n. khoảng thời gian
ease;v. làm dịu đi
eco-friendly;adj. thân thiện với môt trường
effort;n. nỗ lực
elect;v. lựa chọn, bầu chọn
elegant;adj. thanh lịch, tao nhã
element;n. yếu tố
emission;n. chất thải phát ra (khí, gas, ...)
emphasize;v. nhấn mạnh, làm nổi bật
enable;v. giúp, cho phép
enrol;v. kết nạp vào, ghi tên cho vào (khóa học, trường,...)
enthusiastic;adj. nhiệt tình, hào hứng
entire;adj. toàn bộ, hoàn toàn
entrance;n. lối vào, cổng
equally;adv. ngang nhau, như nhau
eternal;adj. vĩnh cửu
evidence;n. bằng chứng
evil;n. điều xấu, ác
evolution;n. sự tiến hóa
exception;n. ngoại lệ
exclude;v. loại trừ
exhibition;n. buổi triển lãm
expand;v. mở rộng, phát triển
expect;v. mong đợi
factor;n. nhân tố, yếu tố
faithful;adj. trung thành, chung thủy
fame;n. tiếng tăm, danh tiếng
familiar;adj. quen thuộc, thông thường
fasten;v. đóng, cài
fault;n. lỗi, sai lầm
firm;n. hãng, công ty
flame;n. ngọn lửa
float;v. nổi, trôi, lơ lửng
forgive;v. tha thứ
form;n. mẫu đơn
foundation;n. nền tảng, cơ sở 
frank;adj. ngay thẳng, bộc trực
frighten;v. làm ai lo sợ
gender;n. giới tính
gesture;n. điệu bộ, cử chỉ
globalization;n. sự toàn cầu hóa
goal;n. mục đích, mục tiêu
grab;v. nắm, chộp, túm lấy
graduate;n. người tốt nghiệp đại học, có bằng cử nhân
grateful;adj. biết ơn
guarantee;n. sự bảo đảm, bảo hành
guideline;n. hướng dẫn, nguyên tắc chỉ đạo
harmful;adj. có hại
heritage;n. di sản
honest;adj. trung thực, lương thiện
hospitality;n. lòng mến khách, lòng hiếu khách
host;n. chủ nhà 
humorous;adj. hài hước, khôi hài
hunt;v. săn bắn, săn bắt
ignore;v. bỏ qua, phớt lờ
imaginative;adj. giàu tưởng tượng
income;n. thu nhập
independent;adj. độc lập, không phụ thuộc
influence;v. ảnh hưởng, tác động
infrastructure;n. cơ sở hạ tầng
injured;adj. bị thương
insist;v. khăng khăng, cố nài
inspect;v. thanh tra, kiểm tra, xem xét kỹ
instinct;n. bản năng, năng khiếu
instruct;v. chỉ dẫn, chỉ thị cho
intake;n. lượng hấp thu
intermediate;adj. trung cấp, giữa cấp cao và cấp thấp
jealous;adj. ghen tuông
judge;v. phán xét, đánh giá
keen;adj. say mê
knot;n. nút thắt
lack;v. thiếu
last;v. kéo dài
lay;v. đẻ (trứng)
license;n. giấy phép, chứng chỉ, bằng
lifespan;n. tuổi thọ
likely;adj. có khả năng, có thể
limit;n. giới hạn, hết hạn dùng
liquid;n. chất lỏng
lively;adj. năng nổ, hoạt bát
location;n. vị trí
loose;adj. lỏng, chùng, rộng
loyal;adj. trung thành, trung nghĩa, trung kiên
management;n. (sự) quản lý, quản trị
mass-produce;v. sản xuất hàng loạt
mention;v. nói đến, đề cập đếm, đề xuất
method;n. phương pháp, cách thức
minimize;v. giảm thiểu, tối thiểu hóa
minority;n. thiểu số
mobile;adj. di động, lưu động
moral;adj. đạo đức
moreover;adv. hơn thế nữa, thêm vào đó
mountainous;adj. vùng núi, nhiều núi
movement;n. sự chuyển động, dịch chuyển
multicultural;adj. đa văn hóa, đa chủng tộc
naturally;adv. cố nhiên, đương nhiên
necessary;adj. cần thiết, quan trọng
negative;adj. tiêu cực, có hại
neglect;v. xao lãng, bỏ bê, lơ là
negotiate;v. thương lượng, đàm phán, điều đình
nervous;adj. lo lắng, hồi hộp
network;v. nối mạng
obey;v. tuân thủ
occasion;n. dịp, cơ hội
occur;v. xảy ra
offer;n. đề xuất, đề nghị, chào mời, chào hàng
one-sided;adj. một chiều, phiến diện
ordinary;adj. bình thường, thông thường
pack;n. túi chườm
painful;adj. đau đớn
passive;adj. thụ động
past;past. qua (khi nói giờ)
patient;n. bệnh nhân
penalty;n. hình phạt
perhaps;adv. có lẽ
permit;v. cho phép
persuade;v. thuyết phục
pleasant;adj. dễ chịu
policy;n. chính sách, hợp đồng, khế ước
portable;adj. cầm tay, dễ mang theo
portrait;n. chân dung
positive;adj. tích cực, lạc quan
precaution;n. khuyến cáo, lưu ý
pregnant;adj. đang mang thai, có mang
principle;n. nguyên tắc
privacy;n. sự riêng tư
production;n. (sự) sản xuất
promotion;n. lăng xê
proper;adj. đúng, thích hợp
propose;v. đề xuất, đưa ra, kiến nghị
prospect;n. viễn cảnh, triển vọng
prove;v. chứng minh
punish;v. phạt, trừng phạt
react;v. phản ứng
realistic;adj. hiện thực, thực tế
reasonable;adj. hợp lý
recall;v. nhớ lại
recruit;n. lính mới, nhân viên mới, thành viên mới
redundant;adj. không có việc, bị sa thải
refer;v. quy vào, nói đến
reform;v. đổi mới
regular;adj. đều đều, không thay đổi, thường lệ
release;v. phát hành
