abroad;adv. (ở) nước ngoài
relief;n. sự nhẹ nhõm
remain;v. duy trì, vẫn còn
remind;v. nhắc nhở
repair;v. sửa, sửa chữa (máy móc)
respect;n. tộn trọng, kính trọng, khâm phục
responsible;adj. có trách nhiệm
restrict;v. giới hạn, hạn chế
retail;n. bán lẻ
return;n. tiền lãi, tiền lời
reverse;adj. ngược lại
review;n. bài đánh giá, lời đánh giá
revise;v. đọc lại, xem lại, duyệt lại, sửa lại (bản in thử, đạo luật...)
risk;n. nguy cơ, sự nguy hiểm, sự rủi ro
rival;n. đối thủ
routine;n. thói quen
rude;adj. thô lỗ, lỗ mãng
rural;adj. thuộc nông thôn, thôn quê
satisfy;v. đáp ứng, thỏa mãn (được yêu cầu, điều kiện...)
scent;n. mùi thơm
security;n. an ninh, sự an toàn
severe;adj. cực kì nghiêm trọng, trầm trọng
shame;n. sự xấu hổ, hổ thẹn
sincere;adj. chân thành
skilful;adj. tài năng, tài giỏi
spin;v. xoay vòng
split;n. sự chia bè phái, chia rẽ
standard;n. tiêu chuẩn (hint :s...)
stir;v. khuấy, đảo 
strategy;n. chiến lược, sự vạch kế hoạch hành động
stress;v. làm căng thẳng
submit;v. trình, đệ trình, biện hộ
summary;n. (bài, bản) tóm tắt
suppose;v. tin rằng, cho là
survive;v. sống sót
swear;v. thề, chửi thề
syllabus;n. giáo trình, chương trình học
sympathy;n. mối thiện cảm, thông cảm
target;n. mục tiêu, mục đích
temporary;adj. tạm thời, nhất thời, lâm thời
tension;n. sự căng thẳng, tình trạng căng thẳng
thorough;adj. kỹ lưỡng, tỉ mỉ
threaten;v. đe doạ
tolerance;n. lòng khoan dung
tough;adj. khó khăn
transparent;adj. trong suốt
treat;v. đối xử
trend;n. xu hướng
truly;adv. thực sự
typical;adj. điển hình, tiêu biểu
undo;v. mở ra, tháo ra, cởi
unique;adj. độc đáo, duy nhất
unite;v. đoàn kết, hợp lại
upset;adj. buồn phiền, thất vọng
urge;v. thúc giục, khuyến cáo
urgent;adj. cấp bách, khẩn cấp
various;adj. nhiều...khác nhau
vast;adj. rất lớn (diện tích, kích cỡ, lượng,...)
vehicle;n. phương tiện giao thông
venue;n. nơi thi đấu
verify;v. kiểm tra lại, thẩm tra, xác minh
vertical;adj. (theo chiều) thẳng đứng, dọc
violate;v. vi phạm, xâm phạm
violent;adj. có nhiều cảnh bạo lực
visible;adj. có thể nhìn thấy được
vision;n. tầm nhìn
vital;adj. thiết yếu, mang tính quyết định
wander;v. đi lang thang, đi không định hướng
whereas;conj. ngược lại, trong khi đó
widespread;adj. lan rộng, rộng rãi
willing;adj. sẵn lòng, sẵn sàng
witness;v. chứng kiến (thường là một tội ác hay tai nạn)
worsen;v. trở nên, làm cho xấu hơn, tệ hơn
worship;v. thờ phụng, tôn thờ
abandon;v. từ bỏ
abuse;v. lạm dụng, sử dụng quá nhiều dẫn đến hại sức khỏe
accompany;v. đi cùng, hộ tống
accomplished;adj. có tài, cừ khôi
achieve;v. đạt được, giành được
addition;n. phép cộng
adopt;v. chọn, áp dụng, chấp nhận và làm theo
afford;v. có khả năng chi trả
aim;v. nhắm, mục đích, hướng tới
alarm;v. khiến ai đó lo lắng, hoảng sợ
allergic;adj. dị ứng
ambiguous;adj. đa nghĩa, mơ hồ
ambition;n. hoài bão, tham vọng
analyse;v. phân tích
ancient;adj. xưa, cổ xưa
apologize;v. xin lỗi
appeal;n. sức hấp dẫn, lôi cuốn
appoint;v. chỉ định, bổ nhiệm
appreciate;v. đánh giá cao, cảm kích
approach;v. tiếp cận, tiến lại gần
appropriate;adj. thích hợp, thích đáng
approximately;adv. khoảng, gần như
artificial;adj. nhân tạo
assemble;v. thu thập, tập hợp, lắp ráp
assess;v. đánh giá, ước lượng 
assign;v. phân công
assist;v. giúp đỡ, có mặt
assume;v. đảm đương, gánh vác
attain;v. đạt được
authority;n. quyền lực
awkward;adj. lúng túng, khó xử
background;n. kiến thức, kinh nghiệm
bad-tempered;adj. nóng giận, nóng tính
ban;n. luật cấm
barrier;n. rào cản, chướng ngại vật
belong;v. thuộc về, được sở hữu bởi ai
bitter;adj. đắng
bother;v. làm bận tâm, quấy rầy
bulk;n. hầu hết, phần lớn
burden;n. gánh nặng
capable;adj. có tài, có năng lực giỏi
clarify;v. làm cho sáng sủa, dễ hiểu
coherent;adj. mạch lạc, chặt chẽ
collapse;v. sụp đổ, hỏng
commitment;n. sự tận tâm
compensate;v. bù, đền bù, bồi thường
competitive;adj. tính cạnh tranh, đua tranh
compile;v. soạn, biên soạn, soạn thảo
complicated;adj. phức tạp, rắc rối
component;n. thành phần, bộ phận
concern;n. mối quan tâm, lo lắng
conclude;v. kết luận, quyết định
concrete;n. bê tông
confidential;adj. giữ kín, bí mật
conflict;n. cuộc xung đột
conform;v. làm cho phù hợp, làm cho thích hợp
confront;v. chạm trán, đương đầu với
confuse;v. làm ai rối rắm
conscious;adj. trong trạng thái tỉnh táo, biết rõ
consume;v. tiêu thụ, tiêu dùng
contaminate;v. làm ô nhiễm, làm bẩn
continuous;adj. liên tục, không dứt
contrast;v. đối chiếu, làm tương phản
contribute;v. đóng góp
coordinate;v. kết hợp
cope;v. đối phó, đương đầu thành công (với một điều gì đó khó khăn)
criterion;n. tiêu chuẩn (hint :c...)
decent;adj. đứng đắn, tao nhã
decline;n. sự suy giảm
definitely;adv. chắc chắn, nhất định
deliberate;adj. thong thả, cố ý, chủ tâm
delicate;adj. dễ vỡ (đồ thuỷ tinh...), dễ bị tổn thương, phá hủy
deliver;v. phân phát (thư), giao (hàng), đưa ai đến đâu
demolish;v. phá huỷ, phá bỏ
demonstrate;v. bày tỏ, biểu lộ, cho thấy, chứng minh, giải thích
deny;v. chối, phủ nhận
depress;v. làm ai chán nản, sầu não
deserted;adj. bỏ hoang, hoang vắng
deserve;v. xứng đáng, đáng
desire;v. thèm muốn, khao khát, ao ước
desperate;adj. tuyệt vọng
devastating;adj. tàn phá, phá huỷ
devise;v. nghĩ ra, sáng chế
devoted;adj. tận tâm
diagnose;v. chuẩn đoán
dimension;n. kích thước, khổ
diminish;v. suy giảm, thu nhỏ
direct;v. làm đạo diễn (phim, kịch..)
disgust;v. làm ai đó ghê tởm
dissolve;v. hoà tan, tan ra
distorted;adj. bị bóp méo, bị xuyên tạc
distracting;adj. gây xao nhãng, mất tập trung
disturb;v. quấy rầy, làm phiền
dominate;v. trội hơn, chiếm ưu thế
dramatic;adj. mạnh mẽ, ấn tượng
effective;adj. có hiệu quả, có tác dụng
efficient;adj. có hiệu quả, có hiệu suất, có năng suất (cao)
elastic;adj. đàn hồi, co giãn
embarrass;v. làm lúng túng, làm ai ngượng
emerge;v. đi ra từ một nơi tối, hạn hẹp hay ẩn, nổi lên, hiện ra
encourage;v. khuyến khích, động viên
endanger;v. gây nguy hiểm
enrich;v. nâng cao chất lượng
entertaining;adj. mang tính giải trí
establish;v. thành lập, thiết lập
estimate;v. ước lượng
evident;adj. hiển nhiên, rõ ràng
excite;v. kích thích, kích động
excuse;n. lời xin lỗi, lý do để xin lỗi
exploit;v. khai thác, bóc lột
express;adj. nhanh, hỏa tốc, tốc hành.
extend;v. gia hạn, kéo dài (thời hạn...)
extensive;adj. lớn, rộng lớn
face;n. khuôn mặt
facility;n. cơ sở vật chất, trang thiết bị
feasible;adj. khả thi
finite;adj. có hạn
flourish;v. phát triển (hint :f...)
fluency;n. sự lưu loát, sự thông thạo
formerly;adv. trước đây
fraud;n. sự gian lận, sự lừa gạt
fruitless;adj. không có kết quả, thất bại, vô ích
gain;n. sự gia tăng (về lượng như tiền bạc, cân nặng...)
gradual;adj. từ từ
guilty;adj. cảm thấy xấu hổ vì đã làm điều gì xấu, hoặc vì đã không làm một việc mà đáng lẽ phải làm
handle;v. xử lí, giải quyết
hang;v. treo
hatred;n. lòng căm thù, sự căm ghét
hesitate;v. do dự
honour;n. danh tiếng, danh dự
horizontal;adj. ngang, nằm ngang
identify;v. nhận diện, nhận biết, xác định
illegal;adj. bất hợp pháp, trái phép
illustrate;v. minh họa
imitate;v. bắt chước, sao chép
immune;adj. miễn dịch
impact;n. sự tác động mạnh, ảnh hưởng mạnh
implement;v. thi hành, thực hiện
imply;v. ngụ ý, hàm ý, ẩn ý, ý nói
impose;v. bắt chịu, bắt gánh vác
impossible;adj. không thể
impressive;adj. gây ấn tượng
improve;v. tốt lên
incentive;n. các phần thưởng khuyến khích nhân viên làm việc tốt hơn, động cơ
indicate;v. chỉ ra, cho biết điều gì
inevitable;adj. không thể tránh được, chắc chắn xảy ra
infect;v. lây bệnh cho người, động vật, cây cối
infer;v. suy ra, kết luận
ingredient;n. thành phần, nguyên liệu
inhabitant;n. dân cư
inherent;adj. vốn có, cố hữu
initial;adj. ban đầu, đầu
innocent;adj. vô tội
innovative;adj. sáng tạo, đổi mới
inspiration;n. cảm hứng
insult;n. điều lăng mạ, xúc phạm
insurance;n. bảo hiểm
intense;adj. mạnh, có cường độ lớn
interact;v. tương tác, tiếp xúc
interpret;v. giải thích, làm sáng tỏ
interrupt;v. gián đoạn
investigate;v. điều tra, nghiên cứu
involve;v. bao gồm, liên quan
irritate;v. kích thích, làm tấy lên, làm rát
justice;n. sự công bằng
launch;v. phát động, khởi động
leading;adj. hàng đầu, chính, quan trọng
life-threatening;adj. đe dọa đến tính mạng, hiểm nghèo
magical;adj. có ma lực, có sức lôi cuốn, được sử dụng trong ảo thuật
maintain;v. duy trì
mature;adj. trưởng thành, chín chắn
mild;adj. nhẹ, ở mức độ nhẹ
mission;n. sứ mệnh, nhiệm vụ
moderate;adj. khiêm tốn, vừa phải, trung bình
motivate;v. thúc đẩy, động viên
multiply;v. nhân, nhân lên
mysterious;adj. bí hiểm, huyền bí
neutral;adj. trung lập
nominal;adj. chỉ tồn tại trên danh nghĩa, hữu danh vô thực
numerous;adj. rất nhiều
observe;v. quan sát, theo dõi
obstacle;n. trở ngại, khó khăn
obtain;v. giành được, kiếm được (to acquire)
obvious;adj. rõ ràng, rành mạch, hiển nhiên
occupy;v. chiếm giữ, ở, cư ngụ
offensive;adj. xúc phạm, công kích
old-fashioned;adj. lỗi thời
operate;v. vận hành, làm cho hoạt động
operation;n. ca phẫu thuật
opponent;n. đối phương, đối thủ
oppose;v. chống đối, phản đối
option;n. sự chọn lựa, quyền lựa chọn
outcome;n. kết quả, hậu quả
outline;n. đề cương, dàn bài
overall;adj. toàn bộ, toàn thể, tất cả, nói chung
overcome;v. vượt qua
overeat;v. ăn quá mức, ăn vô độ
owe;v. nợ, mắc nợ, mang ơn
particularly;adv. rất, cực kì, đặc biệt (ở một vùng, khu vực nào đó)
passionate;adj. nồng nhiệt, đam mê
peak;n. đỉnh cao, cao điểm
permanent;adj. lâu dài, thường trực, cố định
persistent;adj. kiên trì, dai dẳng
personality;n. tính cách, cá tính
pioneer;n. người tiên phong
pity;n. điều đáng tiếc
poisonous;adj. độc hại (hint :p...)
polish;n. chất đánh bóng
possess;v. có, sở hữu
possibility;n. khả năng (có thể xảy ra hoặc tồn tại)
potential;adj. tiềm năng, tiềm tàng
practical;adj. thực tế, thực tiễn
praise;v. khen ngợi, tuyên dương
precise;adj. chính xác (hint :p...)
prestige;n. uy tín, thanh danh
priority;n. quyền ưu tiên
progress;n. sự tiến bộ, sự tiến triển
prohibit;v. cấm, ngăn cấm
promptly;adv. mau lẹ, nhanh chóng, ngay lập tức, tức thời
proportion;n. sự cân đối, phần
punctual;adj. đúng giờ
pure;adj. tinh khiết, nguyên chất, thuần túy
qualification;n. năng lực, trình độ (để làm cái gì)
qualify;v. đủ tư cách, khả năng, điều kiện
quantity;n. lượng, số lượng
raise;v. nâng lên, đưa lên
ratio;n. tỷ số, tỷ lệ
reach;v. đạt đến một mốc hay giai đoạn nào đó
reception;n. quầy lễ tân
recommend;v. giới thiệu, tiến cử
recover;v. hồi phục
regulation;n. quy tắc, nội quy
reject;n. đồ thừa, đồ bỏ, phế phẩm
relate;v. liên kết, liên quan
relevant;adj. có liên quan
reliable;adj. đáng tin cậy
remarkable;adj. phi thường, đáng chú ý
remedy;n. cách khắc phục
renovate;v. sửa chữa
represent;v. đại diện, tượng trưng cho
reputation;n. danh tiếng, thanh danh, tiếng (tốt của nhân vật)
request;n. lời thỉnh cầu, lời yêu cầu
require;v. đòi hỏi, yêu cầu
rescue;n. sự cứu, giải cứu
resist;v. kháng cự, chống lại
resolve;v. giải quyết
resource;n. nguồn, nguồn lực
respond;v. hồi âm, phúc đáp
result;n. kết quả, đáp số
retain;v. giữ lại, tiếp tục có
reveal;v. tiết lộ
ridiculous;adj. lố bịch, ngu ngốc, vô lí
route;n. tuyến đường
scattered;adj. rải rác, lác đác
scratch;n. sự trầy da, vết thương nhẹ, vết xước
seek;v. tìm kiếm
self-expression;n. sự tự thể hiện (bản thân)
sensible;adj. khôn ngoan
sensitive;adj. nhạy cảm
separate;v. chia, tách
settle;v. ngồi, đậu, bố trí, định cư, làm ăn sinh sống, giải quyết, hòa giải, dàn xếp
shallow;adj. cạn, nông, không sâu
shatter;v. làm vỡ, làm gãy thành nhiều mảnh
short-term;adj. ngắn hạn
significant;adj. có tầm quan trọng, đáng kể
smooth;adj. hòa nhã, lễ độ
sophisticated;adj. tinh vi, phức tạp
specific;adj. cụ thể, rõ ràng, rành mạch
spoil;v. làm hỏng
spread;n. phết, lan rộng
stare;v. nhìn chằm chằm
steady;adj. đều đặn, ổn định
sticky;adj. dính
striking;adj. nổi bật, gây ấn tượng sâu sắc
strive;v. cố gắng, phấn đấu (để đạt được một điều gì đó)
struggle;v. đấu tranh
stunning;adj. ấn tượng, cuốn hút
subjective;adj. chủ quan
substance;n. chất
substitute;v. thay thế
successful;adj. thành công
superior;n. người có vị thế, cấp bậc cao hơn, cấp trên
surface;n. mặt, bề mặt
surround;v. bao quanh
suspect;v. nghi ngờ, ngờ vực
sustain;v. giữ vững được, duy trì
sweep;v. quét
tend;v. có xu hướng, có khuynh hướng, thường
terrorism;n. chủ nghĩa khủng bố
toxic;adj. độc hại (hint :t...)
transfer;v. chuyển
transform;v. thay đổi, biến đổi
ultimately;adv. cuối cùng, sau cùng
valid;adj. có giá trị, có hiệu lực
vivid;adj. sinh động
vulnerable;adj. dễ bị tổn thương
withdraw;v. rút tiền
wonder;n. kỳ quan
worthwhile;adj. đáng giá, xứng đáng